country,date,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,debt_lt,debt_st,debt_total,default_barrier,OVX,country_clean,cds_spread,rf,lambda,theta,delta,country_lower,pd_cf_gbm,dd_cf_gbm,pd_mc_jump_const,dd_mc_jump_const,pd_mc_jump_ovx,dd_mc_jump_ovx
India,2021-09-03,1923.742,0.0512992586584487,5,0.1750977298324753,103612000000.0,242000000.0,103854000000.0,52048000000.0,36.91,india,75.31,0.0008,0.0972042012951941,-0.0361640283203247,0.0001,india,0.20050323547916665,0.8398250768729697,0.2721,0.6064740638013865,0.2518,0.6688361559629545
India,2021-09-10,1921.041,-0.0014050210086412,5,0.1753464348447278,103612000000.0,242000000.0,103854000000.0,52048000000.0,33.54,india,75.3,0.0008,0.0972042012951941,-0.0361640283203247,0.0001,india,0.2009934004661995,0.8380781725750205,0.2751,0.5974604572762968,0.2497,0.6754341105572429
India,2021-09-17,1940.52,0.0100887517865611,5,0.1751163274305482,103612000000.0,242000000.0,103854000000.0,52048000000.0,32.32,india,75.31,0.0007,0.0972042012951941,-0.0361640283203247,0.0001,india,0.20053990452701226,0.8396943029938587,0.2728,0.6043665044621394,0.2531,0.6647662694730193
India,2021-09-24,1957.112,0.008513938835401,5,0.1667502479030256,103612000000.0,242000000.0,103854000000.0,52048000000.0,34.01,india,76.52,0.0008,0.0972042012951941,-0.0361640283203247,0.0001,india,0.1837943525905305,0.9009992749673762,0.2546,0.6600838842403064,0.2292,0.741484048685622
India,2021-10-01,1917.936,-0.0202203094183599,5,0.1669364721282764,103612000000.0,242000000.0,103854000000.0,52048000000.0,37.38,india,76.53,0.0009,0.0972042012951941,-0.0361640283203247,0.0001,india,0.18417243545980772,0.8995779969392178,0.2551,0.6585263047404852,0.2358,0.7198781860557506
India,2021-10-08,1944.094,0.0135464509659428,5,0.1657057724128895,103612000000.0,242000000.0,103854000000.0,52048000000.0,38.0,india,76.53,0.0009,0.0972042012951941,-0.0361640283203247,0.0001,india,0.1816694343685492,0.909021326236414,0.2539,0.662267190250713,0.2339,0.7260632448261599
India,2021-10-15,1980.278,0.0184411801124232,5,0.1641941903313327,103612000000.0,242000000.0,103854000000.0,52048000000.0,34.05,india,76.5,0.0012,0.0972042012951941,-0.0361640283203247,0.0001,india,0.17858124145884957,0.9207853924870296,0.2522,0.6675827059505876,0.2299,0.7391762178696047
India,2021-10-22,1936.214,-0.0225027189554402,5,0.1671006578262086,103612000000.0,242000000.0,103854000000.0,52048000000.0,36.87,india,76.51,0.0013,0.0972042012951941,-0.0361640283203247,0.0001,india,0.18450557804154016,0.8983271614639405,0.2606,0.6414967373378819,0.2424,0.6986032693400749
India,2021-10-29,1902.629,-0.0174979059616153,5,0.1638409010399866,103612000000.0,242000000.0,103854000000.0,52048000000.0,37.92,india,76.48,0.0015,0.0972042012951941,-0.0361640283203247,0.0001,india,0.1778572791602942,0.9235617078728674,0.2468,0.6845942444020415,0.229,0.7421441543954094
India,2021-11-05,1950.462,0.0248296536166711,5,0.1622356612204458,103612000000.0,242000000.0,103854000000.0,52048000000.0,37.84,india,76.5,0.0014,0.0972042012951941,-0.0361640283203247,0.0001,india,0.17455755529961797,0.9363070670258697,0.2525,0.6666433063863064,0.2272,0.748099738073731
