treatment_group,treatment_size,beta,pval,n_obs,is_true
"Malaysia,Saudi Arabia",2,1.096287267283593,0.037490356358836685,85,False
"Malaysia,South Africa",2,0.35809037505276287,0.7151727346955219,85,False
"Malaysia,South Korea",2,0.7418691509906747,0.31762608293673633,85,False
"Malaysia,Thailand",2,0.5287011464331516,0.5455188356637957,85,False
"Malaysia,Turkey",2,0.4132658722752583,0.6624613277747398,85,False
"Mexico,Philippines",2,0.4065744001313391,0.1585330343325675,85,False
"Mexico,Qatar",2,-0.25182268473401914,0.38712001188569145,85,False
"Mexico,Saudi Arabia",2,0.2065899771668745,0.3361838422814256,85,False
"Mexico,South Africa",2,-0.5316069150639554,0.22606559140450755,85,False
"Mexico,South Korea",2,-0.14782813912604353,0.5492846067058201,85,False
"Mexico,Thailand",2,-0.36099614368356675,0.2960125465873449,85,False
"Mexico,Turkey",2,-0.47643141784145987,0.24292150271176216,85,False
"Philippines,Qatar",2,0.07442487400707444,0.8731044103522372,85,False
"Philippines,Saudi Arabia",2,0.5328375359079682,0.024170631226212214,85,False
"Philippines,South Africa",2,-0.20535935632286176,0.7454191884702421,85,False
"Philippines,South Korea",2,0.17841941961505012,0.6609519693083239,85,False
"Philippines,Thailand",2,-0.034748584942473126,0.9477243620644438,85,False
"Philippines,Turkey",2,-0.15018385910036622,0.8020542561181414,85,False
"Qatar,Saudi Arabia",2,-0.1255595489573902,0.7232058852421694,85,False
"Qatar,South Africa",2,-0.8637564411882201,0.001209094796575494,85,False
"Qatar,South Korea",2,-0.4799776652503082,0.02203757234177628,85,False
"Qatar,Thailand",2,-0.6931456698078314,0.0009781052569803883,85,False
"Qatar,Turkey",2,-0.8085809439657246,0.0009512266112958745,85,False
"Saudi Arabia,South Africa",2,-0.40534377928732634,0.429038813394091,85,False
"Saudi Arabia,South Korea",2,-0.02156500334941456,0.9430317896943383,85,False
"Saudi Arabia,Thailand",2,-0.23473300790693777,0.5708711038219447,85,False
"Saudi Arabia,Turkey",2,-0.35016828206483086,0.465893266171272,85,False
"South Africa,South Korea",2,-0.7597618955802443,0.0160863221145775,85,False
"South Africa,Thailand",2,-0.9729299001377678,1.580448445648308e-05,85,False
"South Africa,Turkey",2,-1.0883651742956608,4.5938741921602855e-08,85,False
"South Korea,Thailand",2,-0.5891511241998558,0.014478125708220269,85,False
"South Korea,Turkey",2,-0.704586398357749,0.014805302805254605,85,False
"Thailand,Turkey",2,-0.9177544029152721,1.3290160381540517e-05,85,False
"Abu Dhabi,Brazil,Chile",3,-0.4657880333379317,0.15164944571041117,85,False
"Abu Dhabi,Brazil,China",3,0.1116009329425487,0.7299516780846687,85,False
"Abu Dhabi,Brazil,Colombia",3,-0.10971770702831245,0.6760587649602194,85,False
"Abu Dhabi,Brazil,Dubai",3,0.28096655296849227,0.4850735754380189,85,False
"Abu Dhabi,Brazil,Egypt",3,0.03743613361568935,0.8993600289322159,85,False
"Abu Dhabi,Brazil,Indonesia",3,-0.09801386704479888,0.710466248362303,85,False
"Abu Dhabi,Brazil,Malaysia",3,0.548820062073063,0.321317587141122,85,False
"Abu Dhabi,Brazil,Mexico",3,-0.08667800229602136,0.7442005045750297,85,False
"Abu Dhabi,Brazil,Philippines",3,0.14635596823333122,0.6649145844573678,85,False
"Abu Dhabi,Brazil,Qatar",3,-0.3239276638133532,0.2433620936987153,85,False
