iso3,year,exports_energy_usd,exports_industrial_metals_usd,exports_precious_usd,exports_agriculture_usd,exports_livestock_usd,total_exports_usd,gdp_usd,share_energy,expgdp_energy,share_industrial_metals,expgdp_industrial_metals,share_precious,expgdp_precious,share_agriculture,expgdp_agriculture,share_livestock,expgdp_livestock
PAK,2024,536474382.57,902214730.962,4485.59,634777905.266,0,32438495605.344,3.71408e+11,0.0165382016816347,0.00144443410634666,0.0278130879415187,0.00242917419916103,1.38279840550344e-07,1.2077257355792e-08,0.0195686604270706,0.00170911209577069,0,0
PAN,2000,51763291,1257211,209926,19951121,0,779075431,1.2962e+10,0.0664419502147027,0.00399346482024379,0.00161372179120869,9.69920536954174e-05,0.000269455294887871,1.61954945224502e-05,0.0256087154159018,0.00153920081777503,0,0
PAN,2001,56371251,1360347,746720,13936067,0,809045459,1.3171e+10,0.0696762467089009,0.00427995224356541,0.00168142220547338,0.000103283501632374,0.000922964206390781,5.66942525244856e-05,0.017225320091686,0.00105808723711184,0,0
PAN,2002,45584226,741807,1959191,15102109,0,759613136,1.3689e+10,0.0600097916158206,0.00332998948060487,0.000976558941445162,5.4190006574622e-05,0.00257919578684063,0.000143121557454891,0.0198813162704443,0.00110322952735773,0,0
PAN,2003,3923366,543503,1752477,12765429,0,804989676,1.4426e+10,0.00487380908969571,0.00027196492444198,0.000675167665131646,3.7675239151532e-05,0.00217701798202937,0.000121480451961736,0.0158578791512352,0.000884890406211008,0,0
PAN,2004,4831950,642268,4376773,10371019,0,891105142,1.5816e+10,0.00542242410267676,0.000305510242792109,0.000720754453911568,4.06087506322711e-05,0.00491162354890777,0.000276730715730905,0.0116383785831639,0.000655729577642893,0,0
PAN,2005,7062566,803805,1500730,23679378,0,963215608,1.725e+10,0.00733227944121935,0.000409424115942029,0.000834501635276658,4.65973913043478e-05,0.00155804161346189,8.69988405797102e-05,0.0245836734821681,0.00137271756521739,0,0
PAN,2006,9442993,188065,9226861,21395029,0,8033926025,1.9116e+10,0.00117538958793189,0.000493983730906047,2.34088538299679e-05,9.83809374346098e-06,0.00114848717442603,0.000482677390667504,0.00266308513837729,0.00111922101904164,0,0
PAN,2007,10340603,464170,5914266,17739995,0,8820595019,2.2079e+10,0.00117232488031996,0.000468345622537253,5.26234340200581e-05,2.10231441641379e-05,0.000670506466656771,0.000267868381720187,0.00201120162095495,0.000803478191947099,0,0
PAN,2008,9855331,1751446,8614468,15274574,0,9816620377,2.6081e+10,0.00100394337577632,0.000377873969556382,0.00017841639309019,6.71540968521146e-05,0.000877539078539025,0.000330296691077796,0.00155599110624546,0.000585659062152525,0,0
