iso3,country,year,share_crude_oil,expgdp_crude_oil,share_copper_total,expgdp_copper_total
CIV,Ivory Coast,2014,0.0515616611966382,0.0133823657967964,3.99751434173708e-09,1.03751892312099e-09
CIV,Ivory Coast,2015,0.0433978656917124,0.011897068179068,1.26546731667477e-07,3.46914547637237e-08
CIV,Ivory Coast,2016,0.0539517190605984,0.0120110239226987,3.51241299002989e-06,7.8195240456123e-07
CIV,Ivory Coast,2017,0.0497395961927328,0.0117884875206048,1.16856662891344e-05,2.76955065508836e-06
CIV,Ivory Coast,2018,0.0599260713424774,0.0121045180572263,1.51310178985498e-05,3.05632715901712e-06
CIV,Ivory Coast,2019,0.0709136357326796,0.0149358112686187,2.40373096741283e-05,5.06273182849477e-06
CIV,Ivory Coast,2020,0.0358239111788509,0.00706843417829814,8.80111528386654e-05,1.73655254360811e-05
CIV,Ivory Coast,2021,0.0371742870956127,0.0078263697924018,1.27853077133507e-05,2.69171392088751e-06
CIV,Ivory Coast,2022,0.0506657359784255,0.0117111858119311,1.35746528276342e-05,3.13772766795638e-06
CIV,Ivory Coast,2023,0.0352649051076393,0.0081265450045837,8.87055322145253e-06,2.04415550671857e-06
CIV,Ivory Coast,2024,0.0389219206149971,0.00918298408032516,9.12670675391671e-06,2.15329566225774e-06
COL,Colombia,2000,0.305114994039367,0.0404434914475672,0.000119109914511939,1.5788213961922e-05
COL,Colombia,2001,0.210587233091563,0.0265407454664672,4.84758488885601e-05,6.10951171034568e-06
COL,Colombia,2002,0.21666129290923,0.0264781282035479,2.23352182822359e-05,2.72958203650632e-06
COL,Colombia,2003,0.189160757630824,0.0263259406518411,1.17857798569181e-05,1.64025427332256e-06
COL,Colombia,2004,0.179079439164899,0.0257423080974721,5.77476755367208e-07,8.30111185578526e-08
COL,Colombia,2005,0.190268467086555,0.0276912404104367,1.66326428823702e-05,2.42067705578945e-06
COL,Colombia,2006,0.185944659975573,0.0280319394040533,5.94794178532683e-05,8.96677235727133e-06
COL,Colombia,2007,0.184873457804408,0.0268855222373079,0.000657218659044553,9.55770886873879e-05
COL,Colombia,2008,0.247335306503199,0.0383754868909379,0.000908712038722008,0.00014099186817537
COL,Colombia,2009,0.245136972784067,0.034643249185913,0.000294473508374526,4.16155874546714e-05
COL,Colombia,2010,0.336366949303177,0.0467505065357994,7.4714068736163e-05,1.03842561405101e-05
COL,Colombia,2011,0.404191603714853,0.0687237898891231,4.92088670305805e-05,8.36687305577283e-06
COL,Colombia,2012,0.440604472473818,0.0716414095216771,2.54155971810118e-05,4.13252547269829e-06
COL,Colombia,2013,0.469964623941904,0.0723492072840715,2.78115945712292e-06,4.28148570770543e-07
COL,Colombia,2014,0.470131483760689,0.0675708181307887,6.85596658123693e-05,9.85390868243447e-06
COL,Colombia,2015,0.3595994519635,0.0437297656400664,1.84205625924814e-05,2.24006705441016e-06
COL,Colombia,2016,0.259624556531881,0.0285089207838144,3.27450889595344e-05,3.59568123938879e-06
COL,Colombia,2017,0.289986897651802,0.0351142178144147,1.82334063968118e-05,2.20786459285194e-06
COL,Colombia,2018,0.328336408501212,0.0411069277018113,4.55162021353869e-05,5.6985189031617e-06
COL,Colombia,2019,0.328694007116617,0.0401787806373857,3.53729391671831e-05,4.32390470323847e-06
COL,Colombia,2020,0.229590088744301,0.0263738082965289,2.1128866581315e-05,2.42714604879637e-06
COL,Colombia,2021,0.270609916693906,0.0351637751766109,4.45675909186405e-06,5.79123177144651e-07
COL,Colombia,2022,0.278274216966486,0.0458193214549,4.12311960262005e-06,6.78893447365985e-07
COL,Colombia,2023,0.254357624597071,0.0345602790268966,9.44082098624416e-07,1.28275064702478e-07
COL,Colombia,2024,0.243426011743644,0.0288006788867957,5.26143495574031e-06,6.2250084762355e-07
ECU,Ecuador,2000,0.444642605952484,0.122298130397581,2.33104618519974e-06,6.41149962922822e-07
ECU,Ecuador,2001,0.370593788520047,0.0744727591559649,1.6266839685536e-06,3.26890647295369e-07
ECU,Ecuador,2002,0.36552417315337,0.0679565138242035,6.65299354145227e-05,1.23689288090486e-05
ECU,Ecuador,2003,0.392864891572416,0.0766127608267399,7.91247996135821e-05,1.54301630873567e-05
ECU,Ecuador,2004,0.512548817629033,0.110768813609888,9.19654035864937e-06,1.98749822417957e-06
ECU,Ecuador,2005,0.546827929492685,0.133986445815437,7.8898757071458e-06,1.93321581965789e-06
ECU,Ecuador,2006,0.544792674741332,0.15175877214331,7.17052658481558e-06,1.99743932065396e-06
ECU,Ecuador,2007,0.538272490793805,0.1490171527814,0.000157341579872814,4.35589680836125e-05
ECU,Ecuador,2008,0.56157745952649,0.172851165393611,0.00017112112381474,5.26703577094817e-05
ECU,Ecuador,2009,0.453300762060982,0.104569948847658,0.000157353397597765,3.62991596638656e-05
ECU,Ecuador,2010,0.511834249124967,0.131354506302182,0.000114414348457665,2.9362709277927e-05
ECU,Ecuador,2011,0.528139663048115,0.149391330851912,0.000114459763372613,3.23764670135592e-05
ECU,Ecuador,2012,0.532920500778778,0.144882073323075,0.000104833986483449,2.85006211888072e-05
ECU,Ecuador,2013,0.537380787276476,0.138881211556384,0.000113562360044086,2.93491664077871e-05
ECU,Ecuador,2014,0.505978888768637,0.126716055277556,0.00011201366642425,2.80524153507662e-05
ECU,Ecuador,2015,0.346700736974127,0.0653763521859891,0.000172367280620977,3.25027980660426e-05
ECU,Ecuador,2016,0.300871432793049,0.0517445037216779,0.000305487823150624,5.2538440273981e-05
ECU,Ecuador,2017,0.324204361698374,0.0592514753187131,0.000273980391915205,5.00725602343324e-05
ECU,Ecuador,2018,0.363827937306212,0.0732941907400516,0.00030459176376225,6.13608921742852e-05
ECU,Ecuador,2019,0.346232771764871,0.0718536254647013,0.000251392892778728,5.21715222684858e-05
ECU,Ecuador,2020,0.230150379726717,0.0488686607686851,0.0010483360265682,0.000222596972096177
ECU,Ecuador,2021,0.27259854891285,0.0679066154256897,0.000999029514198064,0.000248866743018688
ECU,Ecuador,2022,0.306233081335524,0.0932950770607837,0.000891945598559451,0.000271734630983441
ECU,Ecuador,2023,0.251341659042575,0.0645774725531792,0.000191471599352072,4.91949961616879e-05
ECU,Ecuador,2024,0.248265606776801,0.0628412044531426,0.000190816683980291,4.82996835798389e-05
EGY,Egypt,2000,0.0739309949260442,0.00332437553692531,7.14272839007933e-06,3.21179385596456e-07
EGY,Egypt,2001,0.0714655913854444,0.00290663142483353,9.13114704043247e-06,3.71379826542685e-07
EGY,Egypt,2002,0.0676406799174263,0.00350916337268588,1.91902783036123e-05,9.9558167979526e-07
EGY,Egypt,2003,0.0553615526756298,0.00412727745545601,9.7090592986839e-05,7.23823296502002e-06
EGY,Egypt,2004,0.0524866088633648,0.00487374230885282,0.000121820410158874,1.1311862205057e-05
EGY,Egypt,2005,0.0483612381522866,0.00547789921892762,8.33967808896605e-05,9.44639091865246e-06
EGY,Egypt,2006,0.0644468541951914,0.0078516776824237,0.000111417706143465,1.35742221661264e-05
EGY,Egypt,2007,0.0649833692292315,0.00767860564444931,6.6532418806304e-05,7.86164541242567e-06
EGY,Egypt,2008,0.0836671459084843,0.0129006213477169,0.000283053679244524,4.36439930795037e-05
EGY,Egypt,2009,0.0649925838613745,0.0079352625539543,2.80458095726526e-05,3.42425011093407e-06
EGY,Egypt,2010,0.0675043762251281,0.00772751611136229,6.27667587698694e-05,7.18518067679894e-06
EGY,Egypt,2011,0.0954319422710357,0.0121665609302213,3.47899035972373e-05,4.4353438880053e-06
EGY,Egypt,2012,0.102751702111323,0.0102642857356307,3.41964445718584e-05,3.41602203190687e-06
EGY,Egypt,2013,0.106309662832287,0.0100909954484587,1.58784358288823e-05,1.50719341411769e-06
EGY,Egypt,2014,0.113772705256162,0.00948437064489451,8.33128328429025e-07,6.94516127026372e-08
EGY,Egypt,2015,0.0907470124533681,0.0056655549127868,4.28934489879257e-07,2.67794149989004e-08
EGY,Egypt,2016,0.0787044841027351,0.00514480909788216,3.31830438030929e-05,2.16913213522534e-06
EGY,Egypt,2017,0.0796741168001289,0.00853276668321004,0.000265469982474483,2.84307314950613e-05
EGY,Egypt,2018,0.0728003618328354,0.00810672196888918,1.21526722827605e-05,1.3532671115232e-06
EGY,Egypt,2019,0.0628283914570815,0.00602904079432452,1.72101514010151e-06,1.65149389419115e-07
EGY,Egypt,2020,0.0406466402748999,0.00311581769708908,0.000197852036910813,1.51665887719757e-05
EGY,Egypt,2021,0.0736365206269871,0.00759098972738956,0.000198144288733932,2.04261587526577e-05
EGY,Egypt,2022,0.061455152374123,0.00673941725182069,0.000112973745848761,1.23891518019658e-05
EGY,Egypt,2023,0.0620021602261766,0.00669935352488904,4.51874636950862e-05,4.88252011030196e-06
EGY,Egypt,2024,0.0314153910305956,0.00367753487947169,8.79768715434676e-06,1.02987103796609e-06
HUN,Hungary,2000,0,0,4.91238826719491e-06,2.91902868262966e-06
HUN,Hungary,2001,0,0,5.5741873679143e-07,3.15985130111524e-07
HUN,Hungary,2002,0,0,4.65975312686181e-07,2.36560411615116e-07
HUN,Hungary,2003,0,0,1.54172938226462e-05,7.78260359197089e-06
HUN,Hungary,2004,0,0,9.6199242910516e-05,5.13002932269384e-05
HUN,Hungary,2005,0.00205311103788022,0.00113044439335797,6.55031241328845e-05,3.60660665971105e-05
HUN,Hungary,2006,0,0,0,0
HUN,Hungary,2007,0.00216264000954849,0.00145990308514662,0,0
HUN,Hungary,2008,0,0,8.25700371808211e-05,5.646914578962e-05
HUN,Hungary,2009,0,0,2.62074796510244e-05,1.65434571544336e-05
HUN,Hungary,2010,0,0,5.29189112040618e-05,3.80139349047377e-05
HUN,Hungary,2011,0,0,7.7865910119326e-05,6.1109425387932e-05
HUN,Hungary,2012,1.03336966077029e-05,8.27128512493189e-06,0.00028041826192948,0.000224452051062505
HUN,Hungary,2013,0.000470971436817744,0.000375033609542486,0.000365375054062247,0.000290947421966
HUN,Hungary,2014,9.64436490530606e-05,7.69041515209489e-05,7.64281862606153e-05,6.09438244443027e-05
HUN,Hungary,2015,0.000300786722665827,0.000240873494937881,5.51692116720314e-05,4.41801443582128e-05
HUN,Hungary,2016,0.000338108360831312,0.00027002090181728,3.41697582895528e-05,2.72887334863239e-05
HUN,Hungary,2017,0.000266746944418068,0.00021121783932745,3.08811156450562e-05,2.44525482261834e-05
HUN,Hungary,2018,0.000815291459360298,0.000626992617179018,6.55385738216988e-05,5.04018550113224e-05
HUN,Hungary,2019,0.000399852692902956,0.00029621750835218,5.71762432105968e-05,4.23571095090555e-05
HUN,Hungary,2020,0.000922126428478007,0.000698110482873514,4.29959575075981e-05,3.25507736577732e-05
HUN,Hungary,2021,0.00120701325715209,0.000929592384454641,7.17163330545058e-05,5.52329948767753e-05
HUN,Hungary,2022,0.000749815452036698,0.000630452476152556,8.18973255247656e-05,6.8860106212953e-05
HUN,Hungary,2023,0.00102631824202841,0.000760102957524124,9.67535368730598e-05,7.1656769329933e-05
HUN,Hungary,2024,0.000376515949847758,0.000283079624316327,7.47086997098271e-05,5.61689635075764e-05
IDN,Indonesia,2000,0.0980306253148474,0.0339312869647096,0.00529984758290286,0.00183443335821977
IDN,Indonesia,2001,0.101473998002094,0.0327476698298636,0.0061743152518107,0.00199257387382741
IDN,Indonesia,2002,0.0914574588891676,0.0245649538455032,0.00693233303846705,0.00186198526834174
IDN,Indonesia,2003,0.0920597924315198,0.0220132841595326,0.00692949774819246,0.00165697748153486
IDN,Indonesia,2004,0.0871915934131054,0.0223430231399278,0.00526188661667896,0.00134836914700155
IDN,Indonesia,2005,0.0950951347666845,0.0261991645825293,0.00789530774541298,0.0021751950566062
IDN,Indonesia,2006,0.0810410187674269,0.0206013913718923,0.00931167745498399,0.00236711623936366
IDN,Indonesia,2007,0.0808585966378114,0.0196260230976064,0.0155057438084162,0.0037635588395463
IDN,Indonesia,2008,0.0906342517927476,0.022244212509247,0.00918894701643927,0.00225522786503813
IDN,Indonesia,2009,0.0671209091894838,0.0135163626932975,0.015276604279104,0.00307630106105151
IDN,Indonesia,2010,0.0659331143301749,0.0137769174010123,0.014345207554246,0.00299747314506538
IDN,Indonesia,2011,0.0679553199084269,0.0154861790913234,0.0125032232928003,0.00284933034517436
IDN,Indonesia,2012,0.0646913217098437,0.0133934117543879,0.00474763637312931,0.000982930123002168
IDN,Indonesia,2013,0.0559003642473365,0.0111829492309243,0.0028806103769166,0.0005762702986442
IDN,Indonesia,2014,0.0526665212638869,0.0104075638286288,0.00430127078055311,0.000849984945246768
IDN,Indonesia,2015,0.0430909883038023,0.00752674863449551,0.00369248387458484,0.000644970075064994
IDN,Indonesia,2016,0.0359659803656046,0.00557661277293033,0.00545969766417171,0.00084653940809785
IDN,Indonesia,2017,0.0317179538630248,0.00527251318647052,0.00640933846442545,0.00106543195428601
IDN,Indonesia,2018,0.0284131358048298,0.0049128003417534,0.00563954171896046,0.00097511033891345
IDN,Indonesia,2019,0.0102969905464665,0.00154287393056027,0.00646729536118079,0.000969042495374855
IDN,Indonesia,2020,0.00855967057642806,0.00131897622705242,0.0077065513384174,0.00118751743039313
IDN,Indonesia,2021,0.0120762333163575,0.00235642280498268,0.00806525945125027,0.00157376566029785
IDN,Indonesia,2022,0.00552828993164258,0.00122454055250887,0.00594359452980014,0.00131653234895508
IDN,Indonesia,2023,0.00675992722474035,0.00127576981491486,0.00449886123871336,0.000849049283967914
IDN,Indonesia,2024,0.00836726861940267,0.00159597377590776,0.00835156101000949,0.00159297770469097
IRQ,Iraq,2010,0.994664034324629,0.376867821278255,0,0
IRQ,Iraq,2011,0.997119059104685,0.446762314939435,0,0
IRQ,Iraq,2012,0.996378270471376,0.431255503779262,0,0
IRQ,Iraq,2013,0.99412333935082,0.380221873694798,0,0
IRQ,Iraq,2014,0.995547814330274,0.358531606513503,0,0
IRQ,Iraq,2015,0.993029063176331,0.276175732123355,0,0
