,sigma_lcl,indebtness,OVX,lambda,V,sigma_total,DD,spread_bps,converged
148,0.15,5.0,80,41.17,464.48,0.12,0.5229,714.8,True
149,0.15,5.0,120,52.0,457.4,0.1349,0.3829,864.3,True
150,0.15,7.0,15,6.11,642.25,0.0462,1.5338,129.2,True
151,0.15,7.0,35,11.63,635.3,0.0638,1.0015,344.7,True
152,0.15,7.0,55,21.23,622.15,0.0862,0.5892,651.1,True
153,0.15,7.0,80,41.17,595.34,0.12,0.194,1100.1,True
154,0.15,7.0,120,52.0,583.55,0.1349,0.0749,1270.4,True
155,0.15,10.0,15,6.11,869.22,0.0462,1.0109,339.3,True
156,0.15,10.0,35,11.63,854.12,0.0638,0.5758,663.6,True
157,0.15,10.0,55,21.23,828.7,0.0862,0.226,1057.3,True
158,0.15,10.0,80,41.17,783.44,0.12,-0.112,1573.2,True
159,0.15,10.0,120,52.0,763.21,0.1349,-0.2178,1764.8,True
160,0.2,0.5,15,6.11,138.94,0.1441,3.7869,0.2,True
161,0.2,0.5,35,11.63,138.94,0.1442,3.7834,0.2,True
162,0.2,0.5,55,21.23,138.95,0.1444,3.7772,0.2,True
163,0.2,0.5,80,41.17,139.28,0.1452,3.7645,0.2,True
164,0.2,0.5,120,52.0,139.85,0.1458,3.7588,0.2,True
165,0.2,0.75,15,6.11,158.41,0.1264,3.3878,0.7,True
166,0.2,0.75,35,11.63,158.41,0.1266,3.3836,0.7,True
167,0.2,0.75,55,21.23,158.41,0.1268,3.3763,0.7,True
168,0.2,0.75,80,41.17,158.7,0.1276,3.3598,0.8,True
169,0.2,0.75,120,52.0,159.07,0.1349,3.1713,1.5,True
170,0.2,1.0,15,6.11,177.88,0.1127,3.1528,1.6,True
171,0.2,1.0,35,11.63,177.88,0.1128,3.1478,1.6,True
172,0.2,1.0,55,21.23,177.88,0.1131,3.1392,1.7,True
173,0.2,1.0,80,41.17,178.0,0.12,2.9462,3.2,True
174,0.2,1.0,120,52.0,178.09,0.1349,2.5918,9.6,True
175,0.2,2.0,15,6.11,255.73,0.0786,2.7321,6.3,True
176,0.2,2.0,35,11.63,255.73,0.0789,2.7224,6.5,True
177,0.2,2.0,55,21.23,255.52,0.0862,2.4726,13.5,True
178,0.2,2.0,80,41.17,253.93,0.12,1.6872,93.7,True
179,0.2,2.0,120,52.0,253.06,0.1349,1.4585,150.2,True
180,0.2,3.0,15,6.11,333.57,0.0606,2.5613,10.5,True
181,0.2,3.0,35,11.63,333.46,0.0638,2.4225,15.5,True
182,0.2,3.0,55,21.23,331.94,0.0862,1.7262,86.1,True
183,0.2,3.0,80,41.17,327.15,0.12,1.1204,281.5,True
184,0.2,3.0,120,52.0,324.71,0.1349,0.9407,381.0,True
185,0.2,5.0,15,6.11,488.95,0.0462,2.1505,31.8,True
186,0.2,5.0,35,11.63,486.58,0.0638,1.4906,140.9,True
187,0.2,5.0,55,21.23,480.44,0.0862,0.994,349.0,True
188,0.2,5.0,80,41.17,466.14,0.12,0.5361,701.8,True
189,0.2,5.0,120,52.0,459.29,0.1349,0.3966,848.8,True
190,0.2,7.0,15,6.11,642.73,0.0462,1.541,127.3,True
191,0.2,7.0,35,11.63,636.29,0.0638,1.0123,338.5,True
192,0.2,7.0,55,21.23,623.61,0.0862,0.6014,639.8,True
193,0.2,7.0,80,41.17,597.67,0.12,0.2085,1080.5,True
194,0.2,7.0,120,52.0,586.12,0.1349,0.0894,1248.6,True
195,0.2,10.0,15,6.11,870.05,0.0462,1.0201,334.1,True
196,0.2,10.0,35,11.63,855.61,0.0638,0.5881,652.1,True
197,0.2,10.0,55,21.23,830.91,0.0862,0.2398,1039.2,True
198,0.2,10.0,80,41.17,786.58,0.12,-0.0971,1547.4,True
199,0.2,10.0,120,52.0,766.8,0.1349,-0.2023,1735.7,True
200,0.25,0.5,15,6.11,138.93,0.1801,2.9567,3.1,True
201,0.25,0.5,35,11.63,138.93,0.1802,2.9548,3.1,True
202,0.25,0.5,55,21.23,138.94,0.1804,2.9515,3.2,True
203,0.25,0.5,80,41.17,139.28,0.1811,2.945,3.2,True
204,0.25,0.5,120,52.0,139.85,0.1818,2.9425,3.3,True
205,0.25,0.75,15,6.11,158.39,0.1582,2.6433,8.2,True
206,0.25,0.75,35,11.63,158.39,0.1583,2.6411,8.3,True
207,0.25,0.75,55,21.23,158.39,0.1585,2.6371,8.4,True
208,0.25,0.75,80,41.17,158.69,0.1593,2.6287,8.6,True
209,0.25,0.75,120,52.0,159.2,0.16,2.6243,8.7,True
210,0.25,1.0,15,6.11,177.83,0.1411,2.4586,14.0,True
211,0.25,1.0,35,11.63,177.83,0.1413,2.4559,14.1,True
212,0.25,1.0,55,21.23,177.83,0.1415,2.451,14.3,True
213,0.25,1.0,80,41.17,178.1,0.1422,2.4416,14.7,True
214,0.25,1.0,120,52.0,178.56,0.1429,2.4374,14.8,True
215,0.25,2.0,15,6.11,255.56,0.099,2.1258,33.8,True
