date,fx_ticker,fx_level,r_fx
2019-06-14,USDMXN_Curncy,19.1548,-0.0240165043292153
2019-06-21,USDMXN_Curncy,19.1245,-0.00158310138002449
2019-06-28,USDMXN_Curncy,19.2229,0.00513204107554843
2019-07-05,USDMXN_Curncy,19.0155,-0.0108478405907895
2019-07-12,USDMXN_Curncy,18.9895,-0.00136824123437318
2019-07-19,USDMXN_Curncy,19.0305,0.00215676043624491
2019-07-26,USDMXN_Curncy,19.0504,0.00104514346097062
2019-08-02,USDMXN_Curncy,19.3044,0.0132449504745291
2019-08-09,USDMXN_Curncy,19.4133,0.00562534898375411
2019-08-16,USDMXN_Curncy,19.6595,0.0126022838597843
2019-08-23,USDMXN_Curncy,19.9219,0.0132589470883642
2019-08-30,USDMXN_Curncy,20.063,0.00705769356403563
2019-09-06,USDMXN_Curncy,19.5324,-0.0268026974947477
2019-09-13,USDMXN_Curncy,19.4062,-0.00648202256241603
2019-09-20,USDMXN_Curncy,19.447,0.00210021388184511
2019-09-27,USDMXN_Curncy,19.6916,0.0124993323495133
2019-10-04,USDMXN_Curncy,19.5147,-0.00902412114800377
2019-10-11,USDMXN_Curncy,19.3206,-0.00999614352148592
2019-10-18,USDMXN_Curncy,19.0997,-0.0114992560798202
2019-10-25,USDMXN_Curncy,19.0627,-0.00193908200707771
2019-11-01,USDMXN_Curncy,19.124,0.00321054464798598
2019-11-08,USDMXN_Curncy,19.101,-0.00120340106085859
2019-11-15,USDMXN_Curncy,19.179,0.00407524074970134
2019-11-22,USDMXN_Curncy,19.3761,0.0102244173686663
2019-11-29,USDMXN_Curncy,19.5302,0.00792163767018872
2019-12-06,USDMXN_Curncy,19.3063,-0.0115305179752552
2019-12-13,USDMXN_Curncy,19.0407,-0.0138526741230027
2019-12-20,USDMXN_Curncy,18.9323,-0.00570933528849338
2019-12-27,USDMXN_Curncy,18.8492,-0.00439898542970152
2020-01-03,USDMXN_Curncy,18.9096,0.00319925694234957
2020-01-10,USDMXN_Curncy,18.7952,-0.00606821152996684
2020-01-17,USDMXN_Curncy,18.6607,-0.00718180997425444
