date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl
2023-12-10,Colombia,179.48,0.0484,397.78329639379103,0.08156520176847239,True,254.537964,197.95766600991723,0.16389099854026784
2023-12-17,Colombia,166.66,0.0484,399.95259420526037,0.08212443725893015,True,254.537964,200.1269570102468,0.16411631032471272
2023-12-24,Colombia,156.84,0.0484,401.9641552374382,0.08248339347528126,True,254.537964,202.1384814335482,0.16401452735582106
2023-12-31,Colombia,155.88,0.0432,410.7969081103149,0.08582171863164686,True,249.209472,210.00129415156943,0.16787039713858928
2024-01-07,Colombia,174.53,0.0432,424.70675458207404,0.08271739292684824,True,267.48352,209.1874933692653,0.16792423737994297
2024-01-14,Colombia,167.48,0.0432,422.9574827816526,0.08087482196480886,True,267.48352,207.43782164957824,0.16488948634356174
2024-01-21,Colombia,175.53,0.0432,423.2017550785664,0.0804004843553729,True,267.48352,207.68196188593,0.16382530556314379
2024-01-28,Colombia,174.57,0.0432,423.9748953506894,0.08047296744716034,True,267.48352,208.4550726456569,0.1636635831246018
2024-02-04,Colombia,181.73,0.0438999999999999,418.91369550612546,0.07600195206601891,True,268.2534149999999,203.52815080001866,0.15642675176700419
2024-02-11,Colombia,184.38,0.0438999999999999,419.95671738350495,0.07529270407665384,True,268.2534149999999,204.5710621232506,0.1545617816521126
2024-02-18,Colombia,171.69,0.0438999999999999,420.7189386595082,0.0744651847430165,True,268.2534149999999,205.33318961193294,0.15257288974045632
2024-02-25,Colombia,160.85,0.0438999999999999,417.5901558799782,0.07424552741667843,True,268.2534149999999,202.20445571878065,0.15332736060006624
2024-03-03,Colombia,153.91,0.0449,418.4751941948596,0.07441955899355449,True,269.353265,203.2850359415367,0.15319395230861926
2024-03-10,Colombia,160.88,0.0449,420.59903245352007,0.07466532950996037,True,269.353265,205.40884968599903,0.15288294258688442
2024-03-17,Colombia,159.02,0.0449,421.76123118799285,0.07338582632705112,True,269.353265,206.57093640659292,0.1498315851813274
2024-03-24,Colombia,174.35,0.0449,420.999894032326,0.07266914577296799,True,269.353265,205.8095692240426,0.1486486484872473
2024-03-31,Colombia,172.46,0.0446,425.811461148307,0.07410575193448868,True,269.02331,210.56212748050436,0.14985912882685185
2024-04-07,Colombia,176.61,0.0446,463.97498777266077,0.11894037276911142,True,269.02331,248.77256335802016,0.22155090798324367
2024-04-14,Colombia,183.17,0.0446,458.3470115703425,0.11768317030688595,True,269.02331,243.1463462841356,0.22154487864366865
