treatment_group,treatment_size,beta,pval,n_obs,is_true
"Abu Dhabi,Egypt,Malaysia",3,-0.005759174339434707,0.8818112181889519,9129,False
"Abu Dhabi,Egypt,Mexico",3,-0.00697664574191467,0.8544462901165122,9129,False
"Abu Dhabi,Egypt,Philippines",3,-0.019538670934106862,0.5281428755803228,9129,False
"Abu Dhabi,Egypt,Qatar",3,-0.034575324685874834,0.14047732523546852,9129,False
"Abu Dhabi,Egypt,Saudi Arabia",3,-0.05268517306443842,0.0027290784366951204,9129,False
"Abu Dhabi,Egypt,South Africa",3,-0.05322817729028568,0.002347584684674331,9129,False
"Abu Dhabi,Egypt,South Korea",3,-0.05541365783816006,0.0012924844590824769,9129,False
"Abu Dhabi,Egypt,Thailand",3,-0.05238873640674887,0.002963213346391269,9129,False
"Abu Dhabi,Egypt,Turkey",3,-0.07423720297764615,0.00014097097733523078,9129,False
"Abu Dhabi,Indonesia,Malaysia",3,0.03517655464581686,0.2487872132988942,9129,False
"Abu Dhabi,Indonesia,Mexico",3,0.03395908324333692,0.2573372413275754,9129,False
"Abu Dhabi,Indonesia,Philippines",3,0.02139705805114472,0.4001098786371917,9129,False
"Abu Dhabi,Indonesia,Qatar",3,0.0063604042993767726,0.7800434191738852,9129,False
"Abu Dhabi,Indonesia,Saudi Arabia",3,-0.011749444079186825,0.6359893015827507,9129,False
"Abu Dhabi,Indonesia,South Africa",3,-0.012292448305034044,0.6224838715226939,9129,False
"Abu Dhabi,Indonesia,South Korea",3,-0.014477928852908432,0.5715204734502835,9129,False
"Abu Dhabi,Indonesia,Thailand",3,-0.011453007421497215,0.6435044047234857,9129,False
"Abu Dhabi,Indonesia,Turkey",3,-0.033301473992394526,0.3132337996399588,9129,False
"Abu Dhabi,Malaysia,Mexico",3,0.05182461218986342,0.11817515855036742,9129,False
"Abu Dhabi,Malaysia,Philippines",3,0.039262586997671246,0.20282943173864276,9129,False
"Abu Dhabi,Malaysia,Qatar",3,0.024225933245903313,0.43071477078810405,9129,False
"Abu Dhabi,Malaysia,Saudi Arabia",3,0.0061160848673397295,0.8593051129909002,9129,False
"Abu Dhabi,Malaysia,South Africa",3,0.005573080641492492,0.8722980903574906,9129,False
"Abu Dhabi,Malaysia,South Korea",3,0.003387600093618103,0.9237059582356646,9129,False
"Abu Dhabi,Malaysia,Thailand",3,0.006412521525029327,0.8521795083235961,9129,False
"Abu Dhabi,Malaysia,Turkey",3,-0.015435945045867976,0.7190022061385799,9129,False
"Abu Dhabi,Mexico,Philippines",3,0.03804511559519131,0.2100442083199039,9129,False
"Abu Dhabi,Mexico,Qatar",3,0.02300846184342338,0.4450482569407095,9129,False
"Abu Dhabi,Mexico,Saudi Arabia",3,0.004898613464859768,0.8847884501665035,9129,False
"Abu Dhabi,Mexico,South Africa",3,0.0043556092390125345,0.8979847460422248,9129,False
"Abu Dhabi,Mexico,South Korea",3,0.002170128691138154,0.9500926140737529,9129,False
"Abu Dhabi,Mexico,Thailand",3,0.005195050122549376,0.8775469624255872,9129,False
"Abu Dhabi,Mexico,Turkey",3,-0.016653416448347943,0.6931282281521982,9129,False
"Abu Dhabi,Philippines,Qatar",3,0.010446436651231142,0.667852092095828,9129,False
"Abu Dhabi,Philippines,Saudi Arabia",3,-0.0076634117273324445,0.7757864064078404,9129,False
"Abu Dhabi,Philippines,South Africa",3,-0.008206415953179683,0.7616715178873539,9129,False
"Abu Dhabi,Philippines,South Korea",3,-0.01039189650105408,0.7075946712991694,9129,False
"Abu Dhabi,Philippines,Thailand",3,-0.007366975069642848,0.783603845936,9129,False
"Abu Dhabi,Philippines,Turkey",3,-0.029215441640540147,0.406432567415167,9129,False
"Abu Dhabi,Qatar,Saudi Arabia",3,-0.02270006547910041,0.2542589883862787,9129,False
"Abu Dhabi,Qatar,South Africa",3,-0.02324306970494763,0.2457079428600082,9129,False
"Abu Dhabi,Qatar,South Korea",3,-0.025428550252822035,0.2154064032960865,9129,False
"Abu Dhabi,Qatar,Thailand",3,-0.022403628821410802,0.2591117985713782,9129,False
"Abu Dhabi,Qatar,Turkey",3,-0.04425209539230813,0.10912471700514192,9129,False
"Abu Dhabi,Saudi Arabia,South Africa",3,-0.041352918083511235,0.009400321344063878,9129,False
"Abu Dhabi,Saudi Arabia,South Korea",3,-0.04353839863138569,0.0064913102619272856,9129,False
