date,country,CDS_observed,CDS_M0,CDS_M1,CDS_M2
2018-09-23,Malaysia,94.37,39.85996313064425,93.78130835230279,49.89475793813703
2018-09-30,Malaysia,93.64,39.673636757742145,93.84289738768793,54.10767993979821
2018-10-07,Malaysia,99.98999,39.90701075073615,89.48924014761592,70.55667851945687
2018-10-14,Malaysia,103.41,40.15821052417719,92.46000081922442,62.33110585486219
2018-10-21,Malaysia,105.85,40.15414350424074,92.45475164765968,60.175502722162776
2018-10-28,Malaysia,111.69,40.168968201390754,101.04970061184541,73.31715642524152
2018-11-04,Malaysia,109.76,40.11209826834375,101.14358064824614,99.90637024740631
2018-11-11,Malaysia,104.87,40.20483241248374,106.88975922795446,127.74929293375762
2018-11-18,Malaysia,112.83,40.11068551522025,107.43649566790316,181.41688266793625
2018-11-25,Malaysia,118.86,39.13353359844116,110.43283597189892,352.4301399228559
2018-12-02,Malaysia,111.68,38.0633127518929,106.03917404294353,310.6202082616118
2018-12-09,Malaysia,109.96,38.13156895308012,115.31806222655001,192.5542304911483
2018-12-16,Malaysia,104.31,38.56320173039057,122.81643671573623,198.70133911054694
2018-12-23,Malaysia,107.56,38.53256817234137,123.19347314847852,279.9726513581907
2018-12-30,Malaysia,109.08,38.54602735852341,120.76595416686858,288.2188666473138
2019-01-06,Malaysia,111.46,16.240797436302145,90.80513716242905,242.67741542745787
2019-01-13,Malaysia,98.26999,16.16514619078699,94.70325128669705,150.71815510241396
2019-01-20,Malaysia,90.56,16.011548476693566,94.34427788023979,103.0135212915938
2019-01-27,Malaysia,86.51999,14.156351191669456,89.94912007614823,99.79376579889289
2019-02-03,Malaysia,81.93999,13.979582016224894,89.5716521783935,84.05578280981861
2019-02-10,Malaysia,83.37,13.017615789621953,90.55876281602326,76.42228755913158
2019-02-17,Malaysia,76.56999,12.997991555201656,90.41177099257122,54.029150205314174
2019-02-24,Malaysia,71.42,12.678065570138571,89.02133468634669,56.55318236087446
2019-03-03,Malaysia,64.14999,12.665490668581755,89.20521751246493,59.744917664822786
2019-03-10,Malaysia,67.00999,12.790219362160874,89.2435243429865,56.26964619263338
2019-03-17,Malaysia,61.56999,12.765941571538475,89.09864997183767,34.65969245341361
2019-03-24,Malaysia,64.07999,13.174569087325256,87.38822450480343,42.470992393623
2019-03-31,Malaysia,62.53,12.443224577782598,87.4033896802191,36.70816430770541
2019-04-07,Malaysia,57.67,12.46590065399549,87.88543336882891,23.392801822707405
2019-04-14,Malaysia,55.48999,12.712330044858922,86.424602400367,31.75802902259852
2019-04-21,Malaysia,53.37,12.389600115513367,84.00227990311497,32.06826789495518
2019-04-28,Malaysia,54.95,12.12806429716834,84.32983586460985,67.29883244428379
2019-05-05,Malaysia,56.84,12.165989850201006,83.1615336704269,56.92242630341899
2019-05-12,Malaysia,63.34999,12.082442400800186,83.38608582731266,79.03098866936976
2019-05-19,Malaysia,65.09,11.853632892143294,81.31068977486876,54.34536790236606
2019-05-26,Malaysia,67.90999,11.975799810603457,85.70635527140772,82.88973825942595
2019-06-02,Malaysia,73.10999,12.034090943186103,90.90066532311316,204.44869717432468
2019-06-09,Malaysia,70.73999,12.818092429282554,97.95092307540413,128.83804910678526
2019-06-16,Malaysia,66.48,12.951496823132755,97.6846252791888,167.09437183664954
2019-06-23,Malaysia,58.46999,12.926505932952313,96.66676837933073,159.14225158216365
2019-06-30,Malaysia,54.31999,12.301964781397306,97.84545062321371,133.97942567935797
2019-07-07,Malaysia,50.82999,12.2860168972851,107.96345585153001,92.71484264139967
2019-07-14,Malaysia,51.85999,12.11913447268595,106.10472125787848,58.43701049787746
