treatment_group,treatment_size,beta,pval,n_obs,is_true
"Abu Dhabi,Colombia,Mexico",3,0.14296534155167212,0.11722825406381321,442,False
"Abu Dhabi,Colombia,Philippines",3,0.10362077971563444,0.2240445270275102,442,False
"Abu Dhabi,Colombia,Qatar",3,0.010742783746032662,0.9143221599120774,442,False
"Abu Dhabi,Colombia,Saudi Arabia",3,0.0118291556289388,0.9053459302474782,442,False
"Abu Dhabi,Colombia,South Africa",3,0.007437346045384896,0.9413011628613259,442,False
"Abu Dhabi,Colombia,South Korea",3,-0.012535660651634467,0.9081219628600814,442,False
"Abu Dhabi,Colombia,Thailand",3,0.024054782689225968,0.8012548665902841,442,False
"Abu Dhabi,Colombia,Turkey",3,-0.025982546306363936,0.8201763168531926,442,False
"Abu Dhabi,Dubai,Egypt",3,-0.02277250537557871,0.6813113907267019,442,False
"Abu Dhabi,Dubai,Indonesia",3,0.029821765868741117,0.6412838672592032,442,False
"Abu Dhabi,Dubai,Malaysia",3,0.11326470921929527,0.2700552302218182,442,False
"Abu Dhabi,Dubai,Mexico",3,0.0710720991586106,0.3796696116679916,442,False
"Abu Dhabi,Dubai,Philippines",3,0.03172753732257287,0.6235412578395414,442,False
"Abu Dhabi,Dubai,Qatar",3,-0.06115045864702888,0.32207097920788197,442,False
"Abu Dhabi,Dubai,Saudi Arabia",3,-0.06006408676412282,0.3283118311475406,442,False
"Abu Dhabi,Dubai,South Africa",3,-0.06445589634767665,0.30423107528037496,442,False
"Abu Dhabi,Dubai,South Korea",3,-0.08442890304469601,0.22644453118063934,442,False
"Abu Dhabi,Dubai,Thailand",3,-0.0478384597038355,0.41303882819845295,442,False
"Abu Dhabi,Dubai,Turkey",3,-0.09787578869942544,0.1945882893313884,442,False
"Abu Dhabi,Egypt,Indonesia",3,-0.0009595373725034018,0.9880338360283365,442,False
"Abu Dhabi,Egypt,Malaysia",3,0.08248340597805069,0.44618432575778977,442,False
"Abu Dhabi,Egypt,Mexico",3,0.040290795917366,0.6331353007063436,442,False
"Abu Dhabi,Egypt,Philippines",3,0.0009462340813283325,0.9883526432497081,442,False
"Abu Dhabi,Egypt,Qatar",3,-0.09193176188827344,0.06714684636942558,442,False
"Abu Dhabi,Egypt,Saudi Arabia",3,-0.09084539000536737,0.06917490390317327,442,False
"Abu Dhabi,Egypt,South Africa",3,-0.0952371995889212,0.0616545124768082,442,False
"Abu Dhabi,Egypt,South Korea",3,-0.11521020628594059,0.043308255839733745,442,False
"Abu Dhabi,Egypt,Thailand",3,-0.07861976294508008,0.10203812069101614,442,False
"Abu Dhabi,Egypt,Turkey",3,-0.12865709194067002,0.03892127942184875,442,False
"Abu Dhabi,Indonesia,Malaysia",3,0.13507767722237052,0.18105756423954467,442,False
"Abu Dhabi,Indonesia,Mexico",3,0.09288506716168579,0.25367924614634396,442,False
"Abu Dhabi,Indonesia,Philippines",3,0.05354050532564811,0.4323506947239162,442,False
"Abu Dhabi,Indonesia,Qatar",3,-0.03933749064395367,0.5860146241419564,442,False
"Abu Dhabi,Indonesia,Saudi Arabia",3,-0.03825111876104761,0.594666045908335,442,False
"Abu Dhabi,Indonesia,South Africa",3,-0.04264292834460145,0.5607128794097962,442,False
"Abu Dhabi,Indonesia,South Korea",3,-0.06261593504162076,0.4376829038109431,442,False
"Abu Dhabi,Indonesia,Thailand",3,-0.026025491700760284,0.7037859536854347,442,False
"Abu Dhabi,Indonesia,Turkey",3,-0.07606282069635031,0.378682199846643,442,False
"Abu Dhabi,Malaysia,Mexico",3,0.17632801051224006,0.08752363539524266,442,False
"Abu Dhabi,Malaysia,Philippines",3,0.1369834486762024,0.1747455073376547,442,False
"Abu Dhabi,Malaysia,Qatar",3,0.0441054527066006,0.7124522567807161,442,False
"Abu Dhabi,Malaysia,Saudi Arabia",3,0.04519182458950669,0.7048029818451513,442,False
"Abu Dhabi,Malaysia,South Africa",3,0.040800015005952844,0.7356406729404108,442,False
"Abu Dhabi,Malaysia,South Korea",3,0.02082700830893348,0.8712202726382843,442,False
"Abu Dhabi,Malaysia,Thailand",3,0.05741745164979395,0.6182807628511537,442,False
"Abu Dhabi,Malaysia,Turkey",3,0.007380122654204032,0.956105689655955,442,False
"Abu Dhabi,Mexico,Philippines",3,0.09479083861551757,0.24499003559352994,442,False
"Abu Dhabi,Mexico,Qatar",3,0.0019128426459158001,0.9838928468612984,442,False
"Abu Dhabi,Mexico,Saudi Arabia",3,0.002999214528821866,0.9746490108618908,442,False
"Abu Dhabi,Mexico,South Africa",3,-0.0013925950547319767,0.9884131345126383,442,False
"Abu Dhabi,Mexico,South Korea",3,-0.021365601751751343,0.8364445708166965,442,False
"Abu Dhabi,Mexico,Thailand",3,0.015224841589109148,0.8664235978571706,442,False
"Abu Dhabi,Mexico,Turkey",3,-0.034812487406480776,0.749859381343174,442,False
"Abu Dhabi,Philippines,Qatar",3,-0.03743171919012202,0.6091191120398194,442,False
"Abu Dhabi,Philippines,Saudi Arabia",3,-0.036345347307215954,0.6179038827426011,442,False
"Abu Dhabi,Philippines,South Africa",3,-0.04073715689076969,0.5833871089064671,442,False
"Abu Dhabi,Philippines,South Korea",3,-0.06071016358778914,0.45730971655150254,442,False
"Abu Dhabi,Philippines,Thailand",3,-0.024119720246928534,0.7281572927112401,442,False
"Abu Dhabi,Philippines,Turkey",3,-0.0741570492425185,0.3961939942512269,442,False
"Abu Dhabi,Qatar,Saudi Arabia",3,-0.12922334327681773,0.0041857142176617845,442,False
"Abu Dhabi,Qatar,South Africa",3,-0.13361515286037146,0.0032165846694356404,442,False
"Abu Dhabi,Qatar,South Korea",3,-0.15358815955739072,0.0015604826361066415,442,False
"Abu Dhabi,Qatar,Thailand",3,-0.1169977162165303,0.010033903329284222,442,False
"Abu Dhabi,Qatar,Turkey",3,-0.16703504521212015,0.0014499226650712682,442,False
"Abu Dhabi,Saudi Arabia,South Africa",3,-0.13252878097746537,0.003459418076370957,442,False
"Abu Dhabi,Saudi Arabia,South Korea",3,-0.1525017876744847,0.0017157934289477872,442,False
"Abu Dhabi,Saudi Arabia,Thailand",3,-0.11591134433362422,0.010555010163300516,442,False
"Abu Dhabi,Saudi Arabia,Turkey",3,-0.16594867332921415,0.0016030450777044791,442,False
"Abu Dhabi,South Africa,South Korea",3,-0.15689359725803856,0.0011790290908957335,442,False
"Abu Dhabi,South Africa,Thailand",3,-0.12030315391717807,0.008695453218385829,442,False
"Abu Dhabi,South Africa,Turkey",3,-0.17034048291276796,0.0010729197806185198,442,False
"Abu Dhabi,South Korea,Thailand",3,-0.14027616061419745,0.005248849972363301,442,False
