model,country,horizon,group,alpha,beta,se_beta,t_stat,p_value,r2,n_obs,ci_lower,ci_upper
M1,South Africa,1,Control,0.03862951772364079,-14.652424888434739,3.7864771337605148,-3.869672091188038,0.00010898183255493934,0.05657101424263122,521,-22.0737836988898,-7.231066077979677
M1,South Korea,1,Control,-0.03544746931596803,-0.33825630333086115,0.23112910839461911,-1.4634950382508205,0.14333197032600803,0.004760524884481532,521,-0.791261031563169,0.1147484249014466
M1,Thailand,1,Control,-0.10733280307682364,-1.0601432498237684,0.5798296501837671,-1.8283701937073658,0.06749401157924809,0.023171304013421934,521,-2.19658848135241,0.07630198170487335
M1,Turkey,1,Control,-0.11268713648010546,-19.270051179999616,8.161038770449613,-2.3612252952129986,0.018214661112485625,0.034313205414393755,521,-35.2653932465159,-3.274709113483329
M1,Abu Dhabi,2,Exporter,-0.10774598617158793,-1.1002928188323868,0.9303873185258786,-1.1826180311396648,0.23696056313365488,0.03775495906562898,520,-2.9238184548159043,0.7232328171511306
M1,Brazil,2,Exporter,0.1675653835814197,-14.506226104781993,3.8738753301480173,-3.744629051918334,0.00018066049808285054,0.1370417136804185,520,-22.098882232470316,-6.913569977093667
M1,Chile,2,Control,-0.1733925226200954,-7.875141457028107,2.9002704030031268,-2.71531283733878,0.00662131908222775,0.0803667337408197,520,-13.559566992341704,-2.19071592171451
M1,China,2,Control,-0.10518798243419991,-0.4939321661059918,0.2906336261856295,-1.6995010955494676,0.08922480832687694,0.006377806977434397,520,-1.063563606126103,0.07569927391411924
M1,Colombia,2,Exporter,0.22666638415329682,-10.937961969653603,6.04344605722099,-1.8098882435765962,0.07031311963595482,0.070937372800844,520,-22.782898584317334,0.906974645010127
M1,Dubai,2,Control,-0.6980776599765874,-3.2274181718393296,2.3115146099287864,-1.3962352467842547,0.16264366593514945,0.08184176080665306,520,-7.757903557037903,1.3030672133592436
M1,Egypt,2,Exporter,1.1527044816355376,2.580363614880829,5.845392979542476,0.44143543879966757,0.6588977910033443,0.0008890486476907933,520,-8.876396100505701,14.03712333026736
M1,Indonesia,2,Control,-0.2686059343455519,-3.640271476262098,2.7832179707882534,-1.3079361783623122,0.19089495723370298,0.02202990745468869,520,-9.095278460131727,1.8147355076075304
M1,Malaysia,2,Exporter,-0.22870886620512137,-3.5295578046621703,2.3509771164506903,-1.5013152531194363,0.13327404164839146,0.05326533549571688,520,-8.137388281383352,1.0782726720590112
M1,Mexico,2,Exporter,-0.02509069985678266,-9.963297214236103,3.8183845775929326,-2.609296421503162,0.00907286126903385,0.15515941331592142,520,-17.447193465441437,-2.479400963030768
M1,Philippines,2,Control,-0.13034703272024012,-1.1813855729406504,1.18821645711667,-0.99425114495334,0.32010061403178314,0.009910250188551961,520,-3.5102470347271053,1.1474758888458043
M1,Qatar,2,Exporter,-0.09262527992054098,-2.9717464107258555,2.3185286895549164,-1.281738036761726,0.19993455704510554,0.05775495825838384,520,-7.5159791393763395,1.5724863179246285
M1,Saudi Arabia,2,Exporter,0.04162188648792002,-2.38117030252038,1.6455449074277761,-1.4470406075045938,0.14788555073365103,0.02403073173964787,520,-5.606379056022119,0.8440384509813588
M1,South Africa,2,Control,0.08116817933404988,-17.54318956100012,4.992685698859753,-3.5137780784011086,0.00044178173293635313,0.1002272269372636,520,-27.328673716893427,-7.7577054051068135
M1,South Korea,2,Control,-0.0768474259693562,-0.26069952698517035,0.3017822560039072,-0.8638663201649439,0.3876613303547771,0.002868755301129511,520,-0.852181879926075,0.3307828259557342
M1,Thailand,2,Control,-0.2252585179986522,-1.2897909255454918,0.7842701747048728,-1.6445747487858384,0.10005753775132331,0.03400764789941024,520,-2.8269322221159787,0.24735037102499513
M1,Turkey,2,Control,-0.21795516751485156,-19.92448203099689,8.082295982964176,-2.4652007391208657,0.013693651024596189,0.044565875179764736,520,-35.76549106999943,-4.083472991994352
M1,Abu Dhabi,4,Exporter,-0.21517171166279522,-1.3648221721733562,1.0798497306333104,-1.263900090406945,0.2062658893552911,0.059479681592982225,518,-3.4812887529299235,0.751644408583211
