COUNTRY,INDICATOR,FREQUENCY,SCALE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,Expenditure - General government - Percent of GDP,Annual,Units,49.399,49.379,49.904,51.047,49.319,51.862,48.789,48.563,50.775,54.53,53.903,55.027,56.245,55.902,55.416,53.881,53.378,52.254,52.451,51.751,58.453,54.939,52.256,53.298,54.488
Austria,Population - Persons for countries / Index for country groups,Annual,Millions,8.012,8.042,8.082,8.118,8.169,8.225,8.268,8.295,8.322,8.341,8.361,8.389,8.426,8.477,8.544,8.63,8.74,8.815,8.885,8.859,8.901,8.932,8.978,9.105,9.159
Belgium,Gross national savings - Percent of GDP,Annual,Units,26.203,24.126,25.248,24.362,25.765,25.677,25.821,26.099,24.931,23.678,24.018,22.554,23.507,23.66,24.026,24.709,24.735,25.033,24.637,24.8,24.955,26.275,25.612,24.675,23.171
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Gross domestic product (GDP) - Current prices - US dollar,Annual,Billions,2802.853,2718.927,2958.267,3407.019,3892.579,4296.55,4655.484,5324.472,5618.597,5165.498,5952.212,6797.219,6853.921,7092.19,7226.396,6655.363,6795.426,7304.598,7693.177,7560.419,7520.808,8743.748,8810.927,8914.534,9243.702
Belgium,Gross debt - General government - Percent of GDP,Annual,Units,109.589,108.217,105.437,101.659,97.17,95.142,91.494,87.325,93.16,99.853,100.245,102.735,104.335,105.032,106.555,105.572,105.475,102.485,100.078,97.573,111.245,108.541,102.701,103.249,104.705
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Exports of goods and services - US dollar,Annual,Billions,1357.939,1271.471,1349.177,1557.759,1910.421,2159.631,2455.856,2830.778,3245.734,2689.565,3311.018,3943.377,4053.993,4201.045,4186.76,3747.589,3668.03,4009.04,4350.888,4220.629,3908.334,4955.846,5478.058,5246.385,5526.46
Belgium,Structural balance - General government - Percent,Annual,Units,-0.783,0.055,0.022,-1.061,-1.004,-0.609,-0.714,-0.826,-1.623,-4.141,-4.044,-4.498,-3.81,-3.228,-3.226,-2.437,-2.256,-1.183,-1.818,-2.933,-6.632,-4.978,-4.405,-4.357,-4.636
Belgium,Output gap - Percent of potential GDP,Annual,Units,1.562,0.397,-0.144,-1.27,-0.05,0.079,0.56,2.346,1.377,-1.665,-0.234,0.52,-0.35,-1.136,-0.57,-0.298,-0.285,-0.064,0.485,1.526,-4.502,-0.529,1.706,1.112,0.558
Belgium,Net debt - General government - Percent of GDP,Annual,Units,99.88,98.063,95.449,91.811,86.889,86.349,82.667,78.245,83.175,88.242,88.412,90.925,91.489,91.419,92.441,92.176,91.544,88.444,85.958,83.824,95.587,93.858,89.119,89.222,91.083
Austria,Output gap - Percent of potential GDP,Annual,Units,1.699,0.835,0.185,-1.083,-0.791,-0.469,0.823,2.563,2.691,-1.296,-0.674,1.089,0.689,-0.341,-0.961,-0.924,-0.497,0.199,0.974,0.704,-1.87,-1.604,2.09,0.689,-0.906
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Unemployment rate,Annual,Units,5.091,5.191,5.194,5.448,5.296,5.078,4.64,4.157,3.974,5.272,5.158,4.672,4.609,4.583,4.585,4.463,4.347,4.152,3.972,3.928,4.618,4.314,3.426,3.321,3.472
Belgium,Current account balance (credit less debit) - Percent of GDP,Annual,Units,3.965,3.335,4.501,3.398,3.098,1.995,1.85,1.496,-1.006,1.651,1.623,-1.926,-0.081,0.951,0.768,1.387,0.554,0.701,-0.915,0.124,0.887,1.833,-1.313,-0.688,-0.854
Austria,Gross national savings - Percent of GDP,Annual,Units,25.23,24.626,25.896,26.013,26.295,26.239,27.147,28.56,29.224,25.627,25.732,25.993,25.748,25.69,26.246,25.589,27.031,26.242,26.744,27.885,29.02,29.408,28.365,26.749,25.237
Belgium,Gross domestic product (GDP) - Current prices - Per capita - US dollar,Annual,Units,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.275,45055.745,44460.655,47915.958,45028.566,47055.739,48129.389,41032.322,41918.104,44110.725,47627.406,46858.358,45933.801,51833.16,51136.196,54913.707,56220.689
Austria,Structural balance - General government - Percent,Annual,Units,-3.852,-1.679,-1.519,-0.902,-1.957,-2.307,-3.033,-2.748,-2.686,-3.762,-3.877,-2.813,-2.114,-2.035,0.038,0.576,-1.104,-0.828,-0.28,0.195,-7.134,-4.816,-4.399,-2.976,-4.157
Belgium,Primary Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,6.178,6.239,5.321,3.086,4.235,1.325,3.996,3.666,2.431,-1.941,-0.857,-1.245,-1.116,-0.148,-0.214,0.197,0.036,1.355,0.841,-0.295,-7.325,-3.954,-2.32,-2.593,-2.854
Austria,Expenditure - General government - Percent of GDP,Annual,Units,50.94,51.815,51.612,51.762,54.316,51.672,50.92,49.72,50.404,54.597,53.357,51.341,51.753,52.428,52.396,51.216,50.64,49.821,49.193,49.074,57.313,56.027,53.01,52.691,56.03
Belgium,Population - Persons for countries / Index for country groups,Annual,Millions,10.239,10.263,10.31,10.356,10.396,10.446,10.511,10.585,10.667,10.753,10.84,11.001,11.076,11.138,11.181,11.237,11.311,11.352,11.399,11.456,11.522,11.555,11.618,11.743,11.817
Austria,Gross debt - General government - Percent of GDP,Annual,Units,66.109,67.238,67.44,66.412,65.912,69.428,68.176,65.813,69.528,80.752,83.654,83.356,82.935,82.431,85.21,85.615,83.419,79.057,74.586,71.006,83.183,82.395,78.376,78.508,80.789
Austria,Gross domestic product (GDP) - Current prices - Per capita - US dollar,Annual,Units,24498.114,24430.662,26315.717,32114.633,36608.939,38190.312,40387.725,46630.129,51575.468,47816.021,46662.235,51126.851,48302.044,50321.474,51342.747,43986.748,45032.903,47055.738,50963.207,50010.449,48764.175,53827.418,52587.378,56215.892,57207.888
Austria,Net debt - General government - Percent of GDP,Annual,Units,43.979,43.035,44.535,44.079,47.121,51.017,50.692,49.73,50.154,57.691,61.58,61.304,61.608,61.654,60.348,59.212,57.401,56.151,51.018,48.181,59.434,60.161,58.216,59.422,62.137
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Gross national savings - Percent of GDP,Annual,Units,30.158,29.171,28.555,29.306,29.973,30.377,31.301,31.046,30.52,29.035,31.109,30.571,30.309,30.387,30.547,30.729,30.321,30.619,30.224,29.988,31.248,33.294,33.059,31.267,32.052
Belgium,Gross domestic product (GDP) - Current prices - US dollar,Annual,Billions,236.897,236.748,258.2,318.004,369.047,385.927,408.281,470.978,517.271,484.488,481.949,527.106,498.731,524.106,538.127,461.091,474.141,500.733,542.885,536.787,529.269,598.92,594.081,644.84,664.365
