date,country,cds_spread,yield_market,spread_M0,spread_M1,spread_M2,RNS_M0,RNS_M1,RNS_M2,yield_rf_M0,yield_rf_M1,yield_rf_M2,yield_rns_M0,yield_rns_M1,yield_rns_M2
2021-12-31,China,41.19,231.19,-0.0,-0.0,1099.2317605361818,-1.734723475976807e-13,-1.734723475976807e-13,409.09902329471225,190.0,190.0,1289.2317605361818,189.99999999999983,189.99999999999983,599.0990232947122
2022-01-31,China,50.03,240.03,-0.0,-0.0,1095.1568268160697,-1.734723475976807e-13,-1.734723475976807e-13,403.95135875741505,190.0,190.0,1285.1568268160697,189.99999999999983,189.99999999999983,593.951358757415
2022-02-28,China,63.38,278.38,-0.0,-0.0,1239.1678288811472,-3.122502256758253e-13,-3.122502256758253e-13,613.140563290988,214.99999999999997,214.99999999999997,1454.1678288811472,214.99999999999966,214.99999999999966,828.140563290988
2022-03-31,China,61.06,292.06,-0.0,-0.0,1294.1974483029026,-6.938893903907228e-14,-6.938893903907228e-14,715.1209550421562,231.0,231.0,1525.1974483029026,230.99999999999994,230.99999999999994,946.1209550421562
2022-04-30,China,75.14999,374.14999,1.9041927014794717e-05,1.9041927014794717e-05,1259.9850211373196,8.467178347348892e-08,6.938893903907228e-14,642.4204593167381,299.00001904192703,299.00001904192703,1558.9850211373196,299.0000000846718,299.00000000000006,941.4204593167381
2022-05-31,China,72.25,371.25,6.301755127660485e-06,6.301754905615879e-06,1235.0470999359213,2.5943969195196814e-08,6.938893903907228e-14,591.1152241158986,299.00000630175515,299.0000063017549,1534.0470999359213,299.00000002594396,299.00000000000006,890.1152241158986
2022-06-30,China,80.64999,406.64998999999995,5.377962082900603e-06,5.377962082900603e-06,1223.2043612540972,2.1968329932953168e-08,3.469446951953614e-13,571.4989676978269,326.00000537796205,326.00000537796205,1549.2043612540972,326.0000000219683,326.0000000000003,897.4989676978269
2022-07-31,China,73.23,408.23,9.066631891764337e-07,9.066631891764337e-07,1194.4734598719906,3.345518306829831e-09,0.0,522.377548821936,335.0000009066632,335.0000009066632,1529.4734598719906,335.0000000033455,335.0,857.377548821936
2022-08-31,China,66.24001,401.24001,9.695559912833195e-07,9.695559912833195e-07,1279.0128197961262,3.525721381514302e-09,0.0,659.9428005620563,335.00000096955597,335.00000096955597,1614.0128197961262,335.0000000035257,335.0,994.9428005620563
2022-09-30,China,108.88,490.88,7.959065009992684e-05,7.959065009992684e-05,1326.485459045692,3.612588700407926e-07,-6.938893903907228e-14,748.4918152466248,382.0000795906501,382.0000795906501,1708.485459045692,382.00000036125886,381.99999999999994,1130.4918152466248
2022-10-31,China,116.28,498.28,4.722123370339441e-05,4.722123370339441e-05,1257.9008992079052,2.035298318769918e-07,-6.938893903907228e-14,600.6337626874187,382.00004722123373,382.00004722123373,1639.9008992079052,382.00000020352985,381.99999999999994,982.6337626874187
2022-11-30,China,73.7,501.7,2.0939710519679578e-05,2.0939710519679578e-05,1235.2415978853414,8.678398277783828e-08,0.0,565.7083952610714,428.0000209397105,428.0000209397105,1663.2415978853414,428.000000086784,428.0,993.7083952610714
2022-12-31,China,76.67,463.67,0.027180115934962973,0.027180115954059066,1105.439599465486,0.00020546100529261757,2.7755575615628914e-13,406.8471681258137,387.027180115935,387.0271801159541,1492.439599465486,387.0002054610053,387.0000000000003,793.8471681258137
2023-01-31,China,50.25,437.25,0.043158091144753954,0.04315809119182843,942.6645287371456,0.00037343004979928374,1.4155343563970746e-11,274.6708811790083,387.04315809114473,387.04315809119186,1329.6645287371457,387.0003734300498,387.00000000001415,661.6708811790083
