country,year,total_exports_usd,exports_copper_usd,exports_energy_usd,gdp_usd,gdp_usd_if_billions,share_copper,share_energy,expgdp_copper,expgdp_copper_if_gdp_billions,expgdp_energy,expgdp_energy_if_gdp_billions,total_expgdp,total_expgdp_if_gdp_billions
SLV,2023,6498092242,0,153548785,3.3854e+10,3.3854e+19,0,0.0236298253828327,0,0,0.00453561720919242,4.53561720919241e-12,0.191944592721687,1.91944592721687e-10
SLV,2024,6447498638.22,0,151175493,3.5365e+10,3.5365e+19,0,0.0234471539247562,0,0,0.0042747205711862,4.2747205711862e-12,0.182312982842358,1.82312982842358e-10
TUR,2023,255627429011,727001470,13767351793,1.153295e+12,1.153295e+21,0.00284398850629099,0.0538570991628898,0.000630369046948092,6.30369046948092e-13,0.0119374069886716,1.19374069886716e-11,0.221649646457324,2.21649646457324e-10
TUR,2024,261778130881,780006114,14011188291,1.358251e+12,1.358251e+21,0.00297964582211253,0.0535231428379678,0.000574272438599346,5.74272438599346e-13,0.010315610510134,1.0315610510134e-11,0.192731778501175,1.92731778501175e-10
URY,2023,9192776209,0,562206,7.7997e+10,7.7997e+19,0,6.11573682659199e-05,0,0,7.20804646332551e-06,7.20804646332551e-15,0.117860638345065,1.17860638345065e-10
URY,2024,10248387373,5710,171702,8.0961e+10,8.0961e+19,5.57160828545898e-07,1.67540505399278e-05,7.0527784982893e-08,7.0527784982893e-17,2.1207989031756e-06,2.1207989031756e-15,0.126584248872914,1.26584248872914e-10
VNM,2023,353077513296.001,149602575.274,2817798611.332,4.33008e+11,4.33008e+20,0.000423710289215109,0.00798067989385014,0.000345496100012009,3.45496100012009e-13,0.00650749780912131,6.50749780912131e-12,0.815406443520676,8.15406443520676e-10
ZAF,2023,110607523884.529,713311552.552,2947254001.676,3.81334e+11,3.81334e+20,0.00644903282797178,0.0266460535248293,0.00187056898297031,1.87056898297031e-12,0.00772879942957093,7.72879942957093e-12,0.290054188413645,2.90054188413645e-10
ZAF,2024,110109356049.439,721933155.639,3019599378.304,4.01076e+11,4.01076e+20,0.00655651055951006,0.0274236403394113,0.00179999091354008,1.79999091354008e-12,0.0075287461187007,7.5287461187007e-12,0.274534891266092,2.74534891266092e-10
ZMB,2023,10431183715.611,1670282053.739,2328564.33,2.7578e+10,2.7578e+19,0.160123922584098,0.000223231072664854,0.0605657427565088,6.05657427565088e-11,8.44355765465226e-05,8.44355765465226e-14,0.378242936964646,3.78242936964646e-10
ZMB,2024,11275829503.039,1692093727.275,2315826.272,2.6326e+10,2.6326e+19,0.150063791477067,0.000205379681501556,0.0642746230826939,6.42746230826939e-11,8.79672670363899e-05,8.79672670363899e-14,0.428315334765593,4.28315334765593e-10
