,country,date,cds_spread,fx_rate,domestic_rate,risk_free_rate,monetary_base_bn_local,external_debt_bn_usd,domestic_debt_bn_local,LCL_usd,sigma_lcl,B_f,implied_V,implied_sigma_V,cca_converged
30,Colombia,2016-07-31,193.21,3069.36771,0.0762999999999999,0.0182,48973.97,122.837,0,21.334326530795927,0.20343506124980304,134.01516700000002,143.66455790289447,0.03046666758996753,True
31,Colombia,2016-08-31,167.47,2901.073397,0.0762999999999999,0.0182,48973.97,122.837,0,22.571953207367034,0.19119682688968892,134.01516700000002,144.9137739221958,0.029937370478072923,True
32,Colombia,2016-09-30,166.85,2883.506344,0.0703,0.0202,47729.15,122.837,0,21.264420738072538,0.20512691233948,135.243537,143.48554019241536,0.030672861287468288,True
33,Colombia,2016-10-31,172.73,2987.750224,0.0703,0.0202,47729.15,122.837,0,20.522496026333602,0.1764525114393018,135.243537,142.76631174191255,0.02543936730404993,True
34,Colombia,2016-11-30,197.14,3176.620076,0.0737,0.0217,48101.33,122.837,0,19.638502746035936,0.1670502077461314,136.1648145,141.79868423117307,0.023178762630344435,True
35,Colombia,2016-12-31,162.61,3001.20048,0.07115,0.0283999999999999,55426.54,122.837,0,22.8693176551802,0.2259813571445468,140.27985399999994,144.51210087536248,0.03632861935489884,True
36,Colombia,2017-01-31,150.42,2930.832356,0.07115,0.0283999999999999,55426.54,137.545,0,23.418400913818523,0.22285213252320044,157.07638999999992,159.63628114574365,0.033192420144349935,True
37,Colombia,2017-02-28,136.59,2889.338342,0.0687,0.0275,50627.78,137.545,0,21.53055112372498,0.24085535056142524,156.4574375,157.77788590125076,0.03368022904100455,True
38,Colombia,2017-03-31,133.65,2873.563218,0.0667,0.0283,48781.54,137.545,0,20.569289521767526,0.23129347045685258,157.00761749999998,156.77985082789624,0.030958672273761676,True
39,Colombia,2017-04-30,125.65,2941.176471,0.0626,0.0266999999999999,47939.46,137.545,0,19.504189786776944,0.2328309814584819,155.90725749999993,155.84491942910202,0.029764791198602904,True
40,Colombia,2017-05-31,123.96,2911.208151,0.0626,0.0266999999999999,47939.46,137.545,0,19.70496821640249,0.2234071345819053,155.90725749999993,156.06715678607958,0.028683637338185318,True
41,Colombia,2017-06-30,136.74,3046.922608,0.06488,0.0254,49245.26,137.545,0,19.68941179777472,0.2220632010496623,155.01321499999997,156.15656688119995,0.028456065700434883,True
42,Colombia,2017-07-31,126.92,3000.30003,0.06488,0.0254,49245.26,137.545,0,19.995371577842405,0.22320953420569462,155.01321499999997,156.45971169708147,0.02900219281926741,True
43,Colombia,2017-08-31,125.44,2924.831822,0.06808,0.0265,49775.08,137.545,0,20.950813473594575,0.22047042663858774,155.7697125,157.33316213405118,0.02980392633041852,True
44,Colombia,2017-09-30,121.79,2936.857562,0.06524,0.0253,49976.56,137.545,0,20.778399099452887,0.21272876028358795,154.94444249999998,157.26874012579108,0.028449645539804606,True
45,Colombia,2017-10-31,110.79,3010.234798,0.06524,0.0253,49976.56,137.545,0,20.271906550952774,0.21113240588353874,154.94444249999998,156.76523429134528,0.027624630972943424,True
46,Colombia,2017-11-30,112.5,2981.514609,0.0665,0.0265,50056.16,137.545,0,20.50593067776807,0.20603316720231793,155.7697125,156.91242905896314,0.027194867911694346,True
47,Colombia,2017-12-31,104.9,2984.183826,0.06464,0.026,59497.96,137.545,0,24.187010719108695,0.2162532681690928,155.42584999999997,160.61368898656283,0.03297385423107961,True
48,Colombia,2018-01-31,88.18999,2813.731007,0.06464,0.026,59497.96,145.218,0,25.652233993827828,0.22238643069792802,164.09634,169.675892069243,0.03411992907416697,True
49,Colombia,2018-02-28,99.98999,2844.950213,0.0633,0.0273,55369.85,145.218,0,23.30084565646849,0.22807815040720708,165.040257,167.2034274891943,0.03235840420609942,True
50,Colombia,2018-03-31,106.59,2792.516057,0.0636,0.0297,54050.94,145.218,0,22.930867604585597,0.2225244504272703,166.782873,166.63223891167812,0.031104772119985687,True
51,Colombia,2018-04-30,105.61,2806.623632,0.0636,0.0297,54050.94,145.218,0,22.81560493421599,0.21283584317246307,166.782873,166.5364182891681,0.029509111804292724,True
52,Colombia,2018-05-31,111.24,2877.697842,0.0643,0.0296,51921.64,145.218,0,21.46116547444121,0.22548503887987595,166.710264,165.16721673968465,0.02981323136837221,True
53,Colombia,2018-06-30,123.98,2930.832356,0.066,0.0298,53558.56,145.218,0,21.90005550937953,0.2256616551129432,166.855482,165.58638148780364,0.030367183023954025,True
54,Colombia,2018-07-31,103.43,2886.836028,0.066,0.0298,53558.56,145.218,0,22.233819538948055,0.22565252005731828,166.855482,165.91962850943685,0.0307629934077209,True
55,Colombia,2018-08-31,111.28,3051.571559,0.0686,0.0297,53671.53,145.218,0,21.364399674813296,0.22642202885450738,166.782873,165.05912009749227,0.029835228419547506,True
56,Colombia,2018-09-30,109.3,2962.085308,0.06888,0.0308,53646.29,145.218,0,21.909466386839107,0.22729748770473482,167.581572,165.497293624488,0.030639098044080285,True
57,Colombia,2018-10-31,125.17,3180.661578,0.06888,0.0308,53646.29,145.218,0,20.40383954692333,0.23828764018918877,167.581572,163.96469350054514,0.030377299410242413,True
58,Colombia,2018-11-30,139.15,3233.107016,0.06989,0.0327,56535.49,145.218,0,21.05998897511852,0.2401445415844428,168.961143,164.42638596666168,0.031531033334378816,True
59,Colombia,2018-12-31,156.93,3246.753247,0.06989,0.0327,56535.49,145.218,0,20.971473017006378,0.16176157128067725,168.961143,164.4444145045654,0.020659516984434117,True
60,Colombia,2019-01-31,128.52,3151.591554,0.0672,0.0298,64377.56,154.219,0,24.6273482940482,0.22860930661481105,177.197631,177.20962430317837,0.032353177379613296,True
61,Colombia,2019-02-28,112.8,3108.486167,0.0664,0.0289,61062.77,154.219,0,23.695058086271352,0.20959255830833692,176.5036455,176.40828203953538,0.02846265729558888,True
62,Colombia,2019-03-31,108.3,3187.759005,0.06429,0.0279999999999999,59049.19,154.219,0,22.209112146347437,0.21944893316275593,175.80965999999992,174.9909723212262,0.02827334058297945,True
63,Colombia,2019-04-30,97.09,3228.931224,0.06429,0.0279999999999999,59049.19,154.219,0,21.925922952880438,0.21967919520779725,175.80965999999992,174.7076917100428,0.02799250508068153,True
64,Colombia,2019-05-31,116.52,3379.520108,0.06409,0.0263,59861.74,154.219,0,21.397066865922685,0.21205280166719234,174.4987985,174.3492573168549,0.026349021745018356,True
