date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,lambda_annual,implied_V,implied_sigma_V,cca_converged
2023-07-23,Qatar,37.22,0.0361,239.1617448,86.19265782682534,0.12436774066540954,5.435535665943301,285.85682483160707,0.0435674945890364,True
2023-07-30,Qatar,36.3,0.0361,239.1617448,86.22092595950768,0.11354405090055167,5.409427473367261,285.8855718586285,0.04041093768119742,True
2023-08-06,Qatar,36.42999,0.0385999999999999,241.6941647999999,84.19027346239196,0.11570118823548252,5.263302004772307,283.4625170160062,0.04036568046159318,True
2023-08-13,Qatar,34.14,0.0385999999999999,241.6941647999999,84.18106763745197,0.115538763018827,5.261146954515825,283.453316165659,0.04031454318440967,True
2023-08-20,Qatar,36.77,0.0385999999999999,241.6941647999999,84.1718618168366,0.1155437159231949,5.303223209236619,283.444105850986,0.04035969231803264,True
2023-08-27,Qatar,37.17,0.0385999999999999,241.6941647999999,84.18413623761892,0.11549175647363628,5.344325567663993,283.4563779577375,0.04039344870792707,True
2023-09-03,Qatar,36.69,0.0405,243.618804,82.98448835182229,0.11509653949104383,5.200927163543618,281.9444487156486,0.0398298229894951,True
2023-09-10,Qatar,35.2,0.0405,243.618804,82.98448835182229,0.11511782354826837,5.166623595442149,281.9444513156594,0.039797972630614804,True
2023-09-17,Qatar,35.19,0.0405,243.618804,82.97238884502733,0.11506685454761591,5.166623595442149,281.9323531211186,0.039780263043105016,True
2023-09-24,Qatar,37.82001,0.0405,243.618804,82.96936396773563,0.11508474234965219,5.540333896532184,281.9292821764838,0.04019601125315,True
2023-10-01,Qatar,40.28,0.0418,244.9356624,83.86133661221534,0.11539768049078654,5.719495090723268,282.6006797480702,0.040751291958026264,True
2023-10-08,Qatar,42.16,0.0418,244.9356624,83.85216409337843,0.11534047144721217,6.101591642077582,282.5914525843516,0.041149800236490834,True
2023-10-15,Qatar,72.14,0.0418,244.9356624,83.80935896593279,0.1151932450842419,7.061072995250489,282.54847358778466,0.042136662710589246,True
2023-10-22,Qatar,64.37,0.0418,244.9356624,83.83993406246886,0.1152004944277286,7.010779741265336,282.5790592980646,0.04209275675314065,True
2023-10-29,Qatar,58.72,0.0418,244.9356624,83.83076153579806,0.11519855191413114,7.328222431095593,282.56981465834355,0.04243168957258212,True
2023-11-05,Qatar,56.7,0.0469,250.10179920000002,78.00884217592856,0.1292579312737017,6.420771356097545,275.8289003922262,0.04372918337546643,True
2023-11-12,Qatar,46.72,0.0469,250.10179920000002,78.00884217592856,0.12927524346451083,6.506079492226207,275.8288372131346,0.04382567197131539,True
2023-11-19,Qatar,44.17999,0.0469,250.10179920000002,78.04012762756996,0.12929619189720004,6.6340829276196205,275.86002677386455,0.04397897571047553,True
2023-11-26,Qatar,42.63,0.0469,250.10179920000002,78.04012762756996,0.12931548084325786,6.964913469637772,275.8597622097581,0.04433901621374374,True
2023-12-03,Qatar,42.39999,0.0476999999999999,250.9121735999999,79.84821930841713,0.131304543275038,6.103825316023798,277.5169940892315,0.044561587622739554,True
2023-12-10,Qatar,44.78,0.0476999999999999,250.9121735999999,79.80457369529208,0.13129419870795278,6.164174978588253,277.47330390246265,0.04460942120546558,True
2023-12-17,Qatar,44.62,0.0476999999999999,250.9121735999999,79.80457369529208,0.13129148612011834,6.0402112648972155,277.4733905621219,0.04447550928589295,True
2023-12-24,Qatar,45.22,0.0476999999999999,250.9121735999999,79.86276785503033,0.13124650166511945,5.838943474112692,277.53173057013555,0.04426533050638518,True
2023-12-31,Qatar,45.7,0.0421999999999999,245.3408495999999,80.39784726382386,0.13125300221438482,6.161938474165821,279.06645722009324,0.04465651748269036,True
2024-01-07,Qatar,50.14999,0.0421999999999999,253.2071422999999,80.35976345084536,0.13125623159004063,6.145167855493496,285.39803921946395,0.04381887251186208,True
2024-01-14,Qatar,53.27,0.0421999999999999,253.2071422999999,80.33925677993837,0.13103676552584956,6.657661397402004,285.37714205318434,0.044304169169200346,True
