date,debt_st,debt_lt,default_barrier,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,country,cds_spread,rf,country_lower,A,d2,pd_model,spread_model,ln_cds,d_ln_cds,d_pd,ym
2022-01-07,5722783000.0,317576000000.0,164510783000.0,48.436,0.01179611618085,5,0.191492797737523,Greece,92.63,0.0043,greece,70715887454.11331,-2.1356819012450154,0.9836473246975823,1967.2946493951647,4.5286130632659365,0.0,-0.0012926325685946871,2022-01
2022-01-14,5722783000.0,317576000000.0,164510783000.0,51.521,0.061746152653496,5,0.1946367690968319,Greece,92.63,0.0051,greece,75219944618.12231,-1.9570937291653732,0.9748317752161485,1949.6635504322971,4.5286130632659365,0.0,-0.008815549481433815,2022-01
2022-01-21,5722783000.0,317576000000.0,164510783000.0,50.907,-0.0119890528868173,5,0.1947538225877632,Greece,92.63,0.0058,greece,74323513143.66476,-1.975672541248984,0.9759040615970969,1951.8081231941937,4.5286130632659365,0.0,0.0010722863809483618,2022-01
2022-01-28,5722783000.0,317576000000.0,164510783000.0,49.545,-0.0271190911479359,5,0.1920610585077499,Greece,92.63,0.0075,greece,72335012055.37296,-2.040663254532185,0.9793578449299452,1958.7156898598903,4.5286130632659365,0.0,0.0034537833328482925,2022-01
2022-02-04,5722783000.0,317576000000.0,164510783000.0,52.163,0.0514920837910144,5,0.1976595185169926,Greece,92.63,0.0089,greece,76157255703.7929,-1.8628642736069407,0.9687593178088763,1937.5186356177524,4.5286130632659365,0.0,-0.010598527121068901,2022-02
2022-02-11,5722783000.0,317576000000.0,164510783000.0,54.023,0.0350364505076236,5,0.2000205567379689,Greece,92.63,0.010700000000000001,greece,78872829877.23106,-1.747664970830582,0.959738971089247,1919.477942178494,4.5286130632659365,0.0,-0.009020346719629257,2022-02
2022-02-18,5722783000.0,317576000000.0,164510783000.0,52.927,-0.0204962761780549,5,0.2015620440382884,Greece,92.63,0.0103,greece,77272685095.4632,-1.7876464009828752,0.9630834628630273,1926.1669257260546,4.5286130632659365,0.0,0.003344491773780267,2022-02
2022-02-25,5722783000.0,317576000000.0,164510783000.0,51.301,-0.0312033604673239,5,0.2028956824767837,Greece,92.63,0.0113,greece,74898747672.87694,-1.8366247376374796,0.966867343589485,1933.73468717897,4.5286130632659365,0.0,0.0037838807264577445,2022-02
2022-03-04,5722783000.0,317576000000.0,164510783000.0,44.036,-0.1527027639559656,5,0.2541521658984205,Greece,92.63,0.0105,greece,64291948549.20584,-1.8450153382069014,0.967482346282113,1934.964692564226,4.5286130632659365,0.0,0.0006150026926280416,2022-03
2022-03-11,5722783000.0,317576000000.0,164510783000.0,44.658,0.014025981397672,5,0.2522297013530181,Greece,92.63,0.012199999999999999,greece,65200059912.5814,-1.8148231921867075,0.9652244574509957,1930.4489149019914,4.5286130632659365,0.0,-0.0022578888311173273,2022-03
2022-03-18,5722783000.0,317576000000.0,164510783000.0,47.014,0.0514119670894979,5,0.2570806799169747,Greece,92.63,0.0129,greece,68639787198.9364,-1.6957991885443564,0.9550380418870705,1910.0760837741411,4.5286130632659365,0.0,-0.010186415563925189,2022-03
2022-03-25,5722783000.0,317576000000.0,164510783000.0,45.716,-0.027997083659975,5,0.2583012675418175,Greece,92.63,0.0167,greece,66744725221.98869,-1.7060858858731103,0.9560039549898407,1912.0079099796815,4.5286130632659365,0.0,0.0009659131027701662,2022-03
2022-04-01,5722783000.0,317576000000.0,164510783000.0,48.81,0.0654868638637045,5,0.2654903599219477,Greece,92.63,0.0172,greece,71261922261.03046,-1.5612226022938087,0.9407643810760119,1881.5287621520238,4.5286130632659365,0.0,-0.015239573913828797,2022-04
2022-04-08,5722783000.0,317576000000.0,164510783000.0,49.293,0.0098468732387474,5,0.2634186920236858,Greece,92.63,0.0181,greece,71967095554.45552,-1.5444931950099525,0.9387655507264816,1877.531101452963,4.5286130632659365,0.0,-0.0019988303495303006,2022-04
2022-04-15,5722783000.0,317576000000.0,164510783000.0,49.414,0.0024517017153658,5,0.262861787286961,Greece,92.63,0.0184,greece,72143753874.34048,-1.5397956632105319,0.9381949153049362,1876.3898306098722,4.5286130632659365,0.0,-0.0005706354215454512,2022-04
2022-04-22,5722783000.0,317576000000.0,164510783000.0,51.193,0.0353690190954323,5,0.2652866896615116,Greece,92.63,0.0206,greece,74741069172.48375,-1.4529506190401982,0.9268812674529536,1853.7625349059072,4.5286130632659365,0.0,-0.011313647851982522,2022-04
2022-04-29,5722783000.0,317576000000.0,164510783000.0,48.598,-0.0520204261523057,5,0.2697958998779359,Greece,92.63,0.021,greece,70952405204.7031,-1.521579338506486,0.9359427410696022,1871.8854821392044,4.5286130632659365,0.0,0.009061473616648552,2022-04
2022-05-06,5722783000.0,317576000000.0,164510783000.0,45.617,-0.063301923733681,5,0.2765274696993047,Greece,92.63,0.0208,greece,66600186596.62827,-1.6034004115634235,0.945576859879424,1891.1537197588482,4.5286130632659365,0.0,0.00963411880982179,2022-05
2022-05-13,5722783000.0,317576000000.0,164510783000.0,44.098,-0.0338660241121465,5,0.27815144860558,Greece,92.63,0.0204,greece,64382467688.32044,-1.655325345101394,0.9510707397833696,1902.1414795667392,4.5286130632659365,0.0,0.005493879903945675,2022-05
2022-05-20,5722783000.0,317576000000.0,164510783000.0,44.536,0.0098834209307384,5,0.2738892469681904,Greece,92.63,0.0207,greece,65021941606.58169,-1.6528932592240593,0.9508237053688936,1901.6474107377871,4.5286130632659365,0.0,-0.0002470344144760439,2022-05
2022-05-27,5722783000.0,317576000000.0,164510783000.0,47.109,0.0561662146897197,5,0.2782548910627476,Greece,92.63,0.020099999999999996,greece,68778485879.83781,-1.5511965161824495,0.9395727016038499,1879.1454032076995,4.5286130632659365,0.0,-0.011251003765043732,2022-05
2022-06-03,5722783000.0,317576000000.0,164510783000.0,47.827,0.0151262680132474,5,0.2779224247183286,Greece,92.63,0.0218,greece,69826755910.22952,-1.5142905213756817,0.9350239142313123,1870.0478284626247,4.5286130632659365,0.0,-0.0045487873725376105,2022-06
2022-06-10,5722783000.0,317576000000.0,164510783000.0,44.661,-0.0684896960211443,5,0.2844866815331031,Greece,92.63,0.0258,greece,65204439870.92565,-1.5700843981634296,0.9418022611187553,1883.6045222375105,4.5286130632659365,0.0,0.006778346887443054,2022-06
2022-06-17,5722783000.0,317576000000.0,164510783000.0,42.048,-0.0602888147008844,5,0.2862916808006077,Greece,92.63,0.0286,greece,61389496153.07946,-1.6365161072129712,0.9491341912785867,1898.2683825571735,4.5286130632659365,0.0,0.007331930159831357,2022-06
2022-06-24,5722783000.0,317576000000.0,164510783000.0,42.863,0.019197160067371,5,0.2870051211559259,Greece,92.63,0.028300000000000002,greece,62579384836.6021,-1.6064655051070975,0.9459141658864754,1891.8283317729506,4.5286130632659365,0.0,-0.003220025392111303,2022-06
