,country,T,GARCH_LL,Jump_LL,LR,p_value,lambda,theta,delta
85,Jamaica,735,1657.798700724715,1674.4885143991196,33.37962734880921,2.6782905249156386e-07,0.03799268898779663,-0.0008988349569676762,0.07113930872051032
86,Ireland,735,1569.99917879517,1602.0474040401725,64.09645049000483,7.827072323607354e-14,0.029610284215237332,-0.027602325343536006,0.0641354410968778
87,Bahrain_domestic,735,1811.6673896859677,1872.2880662684106,121.24135316488582,0.0,0.03836342630795076,-0.012384204500021567,0.058131392321963085
88,Germany,735,1601.4561006575118,1628.1334907297187,53.35478014441378,1.5403012199044497e-11,0.03856676150582621,-0.026891207973016383,0.06932800591211379
89,Japan,735,1740.7931291065586,1769.053951128929,56.5216440447407,3.2509550607073834e-12,0.03742210393734391,-0.01935484190521521,0.05332478741536702
90,Kazakhstan,735,1324.4734617838506,1345.3969658814726,41.84700819524414,4.323538083106371e-09,0.0670811312001016,-0.051298089049858976,0.07030984933665423
91,Oman_domestic,735,1962.8245431868977,2020.7927011075144,115.93631584123341,0.0,0.05769013484196764,-0.01381876859202677,0.04171779573051951
92,Spain,735,1512.3043560823946,1529.0567421287662,33.504772092743224,2.520291195740043e-07,0.0393182003637486,-0.027866535233194815,0.06789078341096312
93,Italy,735,1504.9603691325194,1530.415485416545,50.910232568051015,5.112321677103182e-11,0.01509865706750943,-0.0792368790777534,0.06755174318749146
94,Colombia,735,1396.663743154597,1411.48858821685,29.649690124506378,1.6352013543219357e-06,0.04088269231095544,-0.02927323868416694,0.07823061795431176
95,Croatia,735,1869.528145332561,1922.5650945825914,106.07389850006075,0.0,0.0371542995883811,-0.01471025274210419,0.048597208714156084
96,Serbia,735,1594.160367799653,1690.6814431131793,193.0421506270527,0.0,0.041559725702837495,-0.010397701843073107,0.08679091996339935
97,Bangladesh,735,1735.873002044625,1783.2040107164405,94.66201734363085,0.0,0.07881459368838033,0.010713483038949485,0.044813494352033474
98,France,735,1620.272804364278,1648.9711864598046,57.39676419105308,2.114530772701073e-12,0.03747361404389053,-0.03605800136860671,0.05353331106711375
99,Egypt,735,1311.558594873758,1427.8334865316392,232.5497833157624,0.0,0.05665883193113569,-0.04085060826125694,0.10531714044190772
100,Romania,735,1565.3896285385304,1613.5016777967107,96.22409851636075,0.0,0.02813328434210441,-0.04864117145309502,0.07376500882569491
101,United Arab Emirates_domestic,735,1610.5572093595995,1644.350103638549,67.58578855789892,1.3988810110276972e-14,0.0510707492976485,-0.025026198473901883,0.050792189365157364
102,EU,735,1677.070378494385,1701.0974719203336,48.05418685189716,2.073684557402089e-10,0.03360596216026508,-0.03159242914528067,0.054137237577179885
103,Lithuania,735,1814.450495483974,1849.0881683688349,69.27534576972175,6.106226635438361e-15,0.0374923616248109,-0.017915928574950096,0.05602942643448864
104,Jordan,735,1908.494911184384,2019.5882160769313,222.1866097850948,0.0,0.04833071602491614,0.016500944575876666,0.054545826734461074
105,Lebanon,735,1161.6800013355573,1593.8724446322917,864.3848865934688,0.0,0.09062169577373051,-0.00210916030336173,0.11873778458862974
