Date,Austria,Belgium,Bulgaria,Croatia,Cyprus,Estonia,Finland,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Netherlands,Portugal,Slovakia,Slovenia,Spain,Abu Dhabi,Dubai,Bahrain,Kuwait,Oman,Qatar,Saudi Arabia,Argentina,Brazil,Chile,Colombia,Dominican Republic,Ecuador,El Salvador,Guatemala,Jamaica,Mexico,Panama,Paraguay,Peru,Trinidad and Tobago,United States,Uruguay,Venezuela,Czech Republic,Denmark,Hungary,Iceland,Norway,Poland,Romania,Russia,Serbia,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Australia,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Malaysia,Mongolia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Egypt,Ghana,Iraq,Israel,Jordan,Kenya,Lebanon,Morocco,Nigeria,South Africa,Tunisia
2000-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,107.83000183105469,,,,,,,,,,,,,,,,,,,,,,,
2000-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.77999877929688,,,,,,,,,,,,,,,,,,,,,,,
2000-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,111.2300033569336,,,,,,,,,,,,,,,,,,,,,,,
2000-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,111.19000244140625,,,,,,,,,,,,,,,,,,,,,,,
2000-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,110.9000015258789,,,,,,,,,,,,,,,,,,,,,,,
2000-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,112.41999816894531,,,,,,,,,,,,,,,,,,,,,,,
2000-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,112.80000305175781,,,,,,,,,,,,,,,,,,,,,,,
2000-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,114.37999725341797,,,,,,,,,,,,,,,,,,,,,,,
2000-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,116.44999694824219,,,,,,,,,,,,,,,,,,,,,,,
2001-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,118.47000122070312,,,,,,,,,,,,,,,,,,,,,,,
