Dates,Argentina,Brazil,Chile,Colombia,Mexico,Peru,Uruguay,Angola,Egypt,Ghana,Kenya,Morocco,Nigeria,South Africa,Tunisia,Zambia,West African CFA Franc,Kazakhstan,Poland,Euro,Turkey,Ukraine,Hungary,Bahrain,Oman,Saudi,United Arab Emirates,Qatar,Iraq,Indonesia,Pakistan,Philippines,Sri Lanka,Vietnam
01.01.2021,84.1461,5.1985,711.78,3429.73,19.9035,3.618,42.3525,651.5762,15.6965,5.8675,109.17,8.9153,397.81,14.6947,2.6877,21.165,535.3307,421.15,3.7333,0.8187,7.4392,28.3363,297.11,0.37703,0.385,3.7531,3.673,3.6414,1460,14050,159.8344,48.027,186.54,23098
08.01.2021,85.1227,5.4212,710.68,3475.8,20.0151,3.6077,42.4425,656.4015,15.7259,5.8562,109.17,8.8317,382,15.298,2.693,21.22,535.5845,419.01,3.6938,0.8185,7.3521,28.2701,294.2,0.37701,0.385,3.7517,3.673,3.6414,1460,14020,160.2926,48.081,187.99,23067
15.01.2021,85.7351,5.3003,733.78,3465.69,19.7986,3.6138,42.3875,658.1569,15.6928,5.835,109.17,8.9253,386.5,15.2313,2.7117,21.295,541.7197,419.2,3.7561,0.8281,7.4726,28.145,298.39,0.37699,0.38499,3.7515,3.673,3.6418,1460,14020,160.316,48.065,193,23067
22.01.2021,86.565,5.4705,728.03,3527.05,19.9745,3.6344,42.1475,655.951,15.6521,5.825,109.17,8.9302,381.5,15.1476,2.696,21.355,539.3777,420.38,3.7285,0.8215,7.417,28.1612,293.75,0.37699,0.385,3.7514,3.673,3.6417,1460,14035,160.7,48.088,197.64,23074
29.01.2021,87.3139,5.4717,732.5,3575.78,20.574,3.6368,42.2425,657.1342,15.7208,5.795,109.17,8.9472,381,15.1609,2.7017,21.405,541.6989,423.66,3.7265,0.8239,7.3075,28.13,294.54,0.377,0.38499,3.7513,3.673,3.6413,1460,14030,160.1011,48.077,190.67,23049
05.02.2021,88.001,5.3767,737.05,3547.25,20.0872,3.6374,42.54,652.3521,15.7303,5.81,109.17,8.9855,381,14.844,2.7203,21.495,546.1473,420.36,3.7258,0.83,7.058,27.6915,296.49,0.37699,0.38499,3.7508,3.673,3.6414,1460,14030,159.9871,48.073,193.5,22999
12.02.2021,88.5327,5.3776,722.16,3510.12,19.9526,3.6448,42.645,652.0692,15.7304,5.805,109.17,8.9454,381,14.5475,2.7098,21.575,541.0659,418.7,3.7105,0.8251,7.0349,27.9379,295.71,0.37701,0.38498,3.7512,3.673,3.6412,1460,13973,158.7993,48.045,194.26,22996
19.02.2021,89.1497,5.3877,707.94,3559.25,20.4288,3.6522,42.83,651.8674,15.6247,5.775,109.45,8.9132,381,14.6943,2.7088,21.66,541.7721,417.11,3.7,0.8252,6.9652,27.864,295.9,0.37701,0.38498,3.7509,3.673,3.6412,1460,14065,159.0511,48.453,195.52,23015
26.02.2021,89.8255,5.6033,725.38,3608.27,20.8554,3.6493,43.155,634.9738,15.6387,5.745,109.75,8.9349,408.86,15.1204,2.7159,21.805,541.8912,417.62,3.7436,0.8283,7.4273,27.97,299.93,0.37706,0.38499,3.7505,3.673,3.6415,1460,14235,158.2,48.565,194.77,23018
05.03.2021,90.3652,5.6831,736.99,3635.33,21.3127,3.691,44.35,621.4219,15.6886,5.7225,109.67,9.0182,410.15,15.3579,2.7415,21.9144,547.6906,419.8,3.8486,0.8396,7.5325,27.769,308.24,0.37706,0.38499,3.7505,3.673,3.6414,1460,14300,157.1117,48.57,195.97,23035
12.03.2021,90.8594,5.556,721.74,3568.25,20.6931,3.7101,44.4925,623.514,15.67,5.7325,109.67,8.9929,408.29,14.9508,2.7488,21.965,548.9708,418.93,3.8338,0.8366,7.5602,27.6689,307.09,0.37717,0.38499,3.7516,3.673,3.6417,1460,14385,157.1044,48.46,196.47,23046
19.03.2021,91.3545,5.4908,716.33,3551.6,20.5061,3.7169,44.2,625.3508,15.6951,5.7438,109.8,8.9823,406.77,14.7119,2.7511,22.011,550.0381,420.76,3.8761,0.84,7.2185,27.715,308.74,0.37709,0.38501,3.7507,3.673,3.6418,1460,14408,155.9862,48.627,197.51,23064
26.03.2021,91.8413,5.7569,729.7,3667.92,20.5834,3.7333,44.48,628.839,15.6957,5.76,109.78,9.0476,406.86,14.9844,2.7679,22.07,556.1986,424.27,3.9355,0.8479,8.1076,27.9748,307.47,0.37704,0.385,3.7507,3.673,3.6414,1460,14418,154.6684,48.502,198.99,23076
02.04.2021,91.6873,5.7091,717.57,3704.37,20.3109,3.7435,44.22,629.5419,15.7166,5.775,109.78,9.0589,408.79,14.674,2.7896,22.105,557.8556,427.04,3.91,0.8504,8.1672,28.0275,306.54,0.37704,0.385,3.7503,3.673,3.641,1460,14525,153.5255,48.533,199.17,23073
09.04.2021,92.4378,5.6845,711.68,3639.01,20.1612,3.6253,44.0525,630.863,15.6999,5.77,108.1,8.9723,408.25,14.6112,2.7798,22.165,551.1826,433.1,3.8068,0.8403,8.1747,27.9425,300.84,0.37701,0.385,3.7504,3.673,3.6417,1460,14565,152.8858,48.54,201.24,23063
