COUNTRY;INDICATOR;FREQUENCY;SCALE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
World;Exports of goods - Volume - Free on board (FOB) - Percent change;Annual;Units;13.154;0.193;4.021;6.137;10.921;7.445;9.343;6.851;2.017;-11.024;13.219;6.589;3.195;3.255;2.903;2.957;2.219;5.175;3.344;0.165;-5.337;10.768;2.831;-0.349;3.038
Advanced Economies;Terms of trade of goods and services - percent change;Annual;Units;-2.291;0.277;0.812;1.037;-0.203;-1.218;-1.124;0.469;-2.025;2.634;-0.842;-1.45;-0.54;0.81;0.372;1.79;1.076;-0.222;-0.357;0.061;0.89;1.103;-1.611;0.421;0.931
Advanced Economies;Gross domestic product (GDP) - Constant prices - Per capita - purchasing power parity (PPP) international dollar - ICP benchmark 2021;Annual;Units;46665.188;47115.674;47567.723;48219.905;49470.821;50543.027;51766.455;52833.463;52647.845;50567.234;51842.649;52462.38;52796.209;53337.624;54188.822;55178.774;55899.284;57111.097;58169.286;59021.211;56421.826;59761.818;61219.799;61791.226;62503.028
Advanced Economies;Net lending (+) / net borrowing (-) - General government - Percent of GDP;Annual;Units;;-1.663;-3.481;-3.964;-3.239;-2.409;-1.379;-1.257;-3.496;-8.619;-7.612;-6.203;-5.473;-3.695;-3.079;-2.58;-2.645;-2.458;-2.43;-2.978;-10.273;-7.263;-2.902;-4.88;-4.959
Advanced Economies;Exports of manufactures - Price deflator - Free on board (FOB) - Percent change;Annual;Units;0.201;-3.391;-1.964;2.859;6.519;4.039;2.164;3.319;6.027;-1.835;2.073;4.535;2.407;-2.878;-0.546;-3.065;-5.012;0.129;2.034;0.396;-3.17;6.702;10.347;-1.717;1.253
Advanced Economies;Exports of goods - Volume - Free on board (FOB) - Percent change;Annual;Units;12.627;-0.704;2.715;3.699;9.661;6.442;9.11;6.067;1.41;-12.916;14.33;6.325;1.978;2.616;3.159;3.006;1.697;4.542;2.994;0.394;-6.494;9.939;3.68;-0.943;0.64
Advanced Economies;Terms of trade of goods - percent change;Annual;Units;-2.652;0.319;0.808;1.253;-0.376;-1.687;-1.334;0.563;-2.06;3.46;-1.361;-1.734;-0.827;0.902;0.173;1.894;1.304;-0.156;-0.467;0.011;1.064;1.287;-2.017;0.323;0.685
World;Imports of goods - Volume - Cost insurance freight (CIF) - Percent change;Annual;Units;12.965;0.125;3.99;6.904;11.135;8.36;9.282;7.952;2.826;-12.151;13.741;7.595;2.324;3.284;3.176;2.237;1.896;5.7;4.07;0.057;-5.74;11.179;3.792;-1.365;2.467
Advanced Economies;Gross national savings - Percent of GDP;Annual;Units;23.886;22.845;21.902;21.644;22.268;22.391;23.099;22.657;21.261;19.325;20.726;21.372;21.668;21.774;22.392;22.618;22.408;23.002;23.133;23.25;22.559;23.512;22.969;21.976;21.803
Advanced Economies;Gross domestic product (GDP) - Current prices - Purchasing power parity (PPP) international dollar - ICP benchmarks 2017-2021;Annual;Billions;29160.303;30299.328;31266.28;32522.761;34475.564;36557.535;38840.46;40982.43;41897.205;40720.526;42475.69;44102.289;45424.092;46877.326;48691.563;50297.022;51699.417;53986.202;56430.774;59284.832;58510.13;64683.363;71329.342;75208.557;78470.229
