Month,Qatar,Brazil,Mexico,Chile,Philippines,Egypt,Malaysia,Indonesia,Colombia,Turkey,South Korea,South Africa,Thailand,United Arab Emirates,Saudi Arabia,China
31.01.2011,65558,529592,648031,5429869.2,1069100.756,313991,68147,518032758,42284489.83,117308,80344431,130076,1190209.5,205283,174287,58063.94
28.02.2011,49626,522929,638282,5394677.8,1045778.467,286363,63087,513682254,41446083.87,127153,72889030,127240,1190246.5,219951,176760,47270.24
31.03.2011,43987,521031,634712,4977218.1,1057715.362,267448,61911,529632090,41616693.59,123737,78375694,135018,1224122.2,234533,191438,44845.22
29.04.2011,50528,518287,645583,5411240.6,1075725.149,253752,70477,544355775,40409366.33,146011,75395689,138135,1157750.9,243829,198305,45489.03
31.05.2011,51867,524522,637598,5070133.7,1060711.386,258914,77242,551431218,39709652.26,158072,72175269,132468,1148448,243464,197408,44602.83
30.06.2011,47486,538893,635325,5580813,1100960.859,253142,76346,577605244,43061925.76,166493,79785311,139080,1178699.9,249156,200444,44477.8
29.07.2011,47698,539421,645656,5151368.7,1100532.877,257045,87883,591194288,43306571.77,166554,74830161,138229,1160839.1,242276,203758,45183.1
31.08.2011,48710,537742,635306,5146775.2,1097533.918,255698,95302,663715092,41632746.14,176537,75375766,140311,1172898,236793,216195,45775.29
30.09.2011,39768,556132,643274,5861867.1,1163236.323,264388,88090,604217922,42287968.09,170659,76247996,141586,1182635.6,228863,202609,47145.29
31.10.2011,38779,562804,651532,5974130.9,1217618.371,258515,88637,606452169,43859586.78,169015,75328735,143738,1264186.4,228863,214674,46579.39
30.11.2011,31952,557717,675505,6021884.7,1200474.402,259527,88107,610398563,45813055.56,153954,76710025,149579,1212941.9,228863,209925,47317.26
30.12.2011,31186,587671,763492,6855602.4,1323000.418,259872,96339,657337185,51341929.26,146443,80055930,156551,1318758.5,209740,210856,50748.46
31.01.2012,33626,573720,724694,5803304.2,1227050.569,266829,101573,635844819,47623455.45,137481,80931269,149609,1284062.6,210309,206871,59820.72
29.02.2012,33336,537409,711445,6466193.4,1219570.682,257221,97996,621919456,46002068.82,146124,81053694,151422,1261151.6,211045,212404,51448.78
30.03.2012,35128,532572,723849,6223009.6,1256985.801,258435,97561,629992619,45242333.34,152164,95411832,153644,1264578.1,219948,215216,49595.74
30.04.2012,39685,520751,732244,6175430.6,1276227.791,259341,99457,640577357,43851573.81,154984,81795116,151684,1293131.7,222265,217596,50199.32
31.05.2012,39719,521292,742960,5750649.2,1222458.017,266163,99332,652302179,44612353.99,153873,82226101,152036,1291911.6,216803,219434,49039.72
29.06.2012,39858,531437,748819,6395823.3,1272364.749,266798,100844,674022568,48073950.77,153432,90822525,153851,1281338.6,222293,221966,49284.64
31.07.2012,45136,522906,747221,6047267.8,1215157.716,258478,101498,681639162,45830192.73,159575,78199503,149523,1269581.9,222041,220294,49705.85
31.08.2012,43997,521857,738072,6351994.9,1270127.535,263984,103920,707127464,45357572.07,173145,85252384,153535,1279665.1,222754,231237,50235.06
28.09.2012,44972,508562,728581,6124572.5,1284560.372,267926,102828,687051291,46072720.51,175225,94648331,158692,1304390.9,222926,223626,53433.49
31.10.2012,43955,496745,740225,6480220,1298552.6,280804,102474,696205465,47671851.42,190057,85877728,161097,1303610.3,227211,238934,51467.71
30.11.2012,44960,493167,758618,6313417.8,1343572.258,272957,103244,697525434,48316521.4,182923,86073405,168989,1324717.5,232919,226548,52392.12
31.12.2012,45555,508030,846019,7890360.4,1475632.894,268322,105832,755250658,56464373.25,190104,88341969.4,174103,1446714.4,238209,235629,54659.81
31.01.2013,47152,496592,787098,6513742.1,1393755.328,292442,112162,714124236,50708311.07,189712,83206115.4,163878,1387418.8,245936,234267,62449.63
28.02.2013,48535,485325,778365,7331928.8,1321689.656,299181,110965,706291164,49203548.14,196451,94843448.4,163956,1385524.3,254161,234159,60313.65
29.03.2013,44552,488292,803484,7209092.5,1489939.679,306422,110991,716540465,50200856.08,210328,98028199.4,170194,1378505.4,253298,237258,55460.52
30.04.2013,48295,489603,764629,6783905.2,1462085.22,311397,110601,719477377,47910531.5,212273,94747664.4,169608,1368112,245725,240999,55607.15
31.05.2013,52852,484445,772200,7347513.3,1513793.212,322574,110853,735407118,52640160.09,217080,99247318.4,170516,1363208.9,249690,242407,54431.39
28.06.2013,45577,504918,773245,7687045.9,1540496.792,338307,111708,753233999,53590105.6,222014,101126078.4,168130,1332295,255723,245769,54063.91
31.07.2013,42553,506387,769510,7757682.5,1538794.755,351203,114122,808800718,53148131.6,220612,86478173.4,170882,1334207.8,251146,258471,54412.78
30.08.2013,39445,520143,769245,7158669,1608561.129,355266,112916,776026338,53008936.44,251721,95254698.4,171866,1344782.7,250595,254045,54925.35
30.09.2013,47828,539430,769836,7146770.4,1621933.521,367759,112706,782160843,51736345.33,252251,101965197.4,169771,1348040.2,259319,251920,56492.53
31.10.2013,47495,522777,779989,7110967.2,1690530.771,381860,111196,797865878,55175373.89,253282,97204598.4,175950,1391612,259733,256130,55595.72
29.11.2013,47255,532099,821532,7606783.4,1766034.584,387480,113973,818087447,57525538.44,252290,94335616.4,187560,1395753.6,266134,252525,56441.27
31.12.2013,44039,574550,917876,8754473.9,1926202.108,406069,115825,891612465,65098798.16,263510,104262012.4,191139,1528078.5,281800,256078,58574.44
31.01.2014,63531,560240,869144,7364918.9,1830099.376,412736,126854,849783025,59517987.09,271841,102718316.4,178260,1541301.9,288310,258455,76488.6
28.02.2014,57238,566324,864385,7770537.1,1809046.429,409181,120947,820200317,59204097.46,277569,105952148.4,176827,1537538.3,287846,262320,62320.95
31.03.2014,58745,573521,858039,7585232.8,1824851.897,395185,119911,836138422,59381916.37,276775,104645552.4,175337,1543124.6,297840,270196,58329.3
30.04.2014,54618,567399,873153,7687753.6,1871298.716,399528,119080,843540291,59143723.63,276244,98882246.4,181551,1523782.4,293257,267356,58615.54
30.05.2014,54528,562889,875566,7789848.8,1975419.779,397015,119683,855893637,61455398.26,272604,100787034.4,179757,1457346.9,296941,272594,58051.11
30.06.2014,55847,573470,875845,7522805.4,1959539.081,408814,120628,863696623,62286306.63,281866,108039114.4,178693,1454117.3,308943,281702,56951.05
31.07.2014,57741,580932,887168,7468687.7,1887286.69,443092,123909,960507807,62575193.98,286202,106243005.4,185702,1407375.8,302460,301548,57346.5
29.08.2014,57403,548548,886287,7895638.9,1967732.89,452379,122057,891430101,60983792.17,290771,113389619.4,186510,1399999.5,301368,279358,57997.61
30.09.2014,56894,538874,883141,8002790.3,2004045.398,411192,121272,889211926,60617841.35,301540,111871580.4,190609,1385458.3,311456,291986,58844.99
31.10.2014,54453,530514,908616,8001445.4,2071178.172,423986,120654,921249849,62461663.64,291507,108763840.4,187036,1430501.5,302290,293715,57691.64
28.11.2014,53993,531323,944942,7805800.9,2110858.908,437999,122651,926583405,65133249.82,288190,107076349.4,199128,1458174.6,303715,283459,58438.53
31.12.2014,54209,548461,1062893,8183119.5,2323905.095,461348,124760,993319606,69682400.79,296622,116793678.4,205184,1611461.1,309204,282924,60259.53
30.01.2015,54020,525863,1024726,8251681.2,2127825.135,475205,132728,929634502,67301232.25,304335,109753123.4,196657,1528233.7,292404,283130,63040.507
27.02.2015,49528,522378,1025435,8348870.1,2117420.157,471449,133634,931261750,66581945.71,312930,116619068.4,196708,1552286.9,292594,299014,72896.193
31.03.2015,50631,524322,1064273,8452281.2,2094926.769,488409,131881,926647343,66454202.25,319165,123252475.4,198675,1543823.2,304418,300715,61949.81
30.04.2015,52506,519039,1046382,8494929.7,2139320.309,494981,132687,954802028,69026211.3,333464,123050945.4,200585,1532063.4,291366,304829,60772.46
29.05.2015,56020,526021,1057904,8833579.4,2169837.65,484282,131332,958163944,67904890.3,327259,117151228.4,200070,1497482.6,295545,307892,59075.97
30.06.2015,64980,513880,1054391,8477534.7,2130044.614,485875,132368,968608134,69277585.81,332822,125813116.4,201388,1492618.5,302433,313348,58604.264
31.07.2015,64844,514328,1073443,8232771.8,2189336.805,526848,132838,993928936,69160019.39,348687,115093255.4,206756,1480191.6,300358,319836,59010.708
31.08.2015,56498,527538,1079657,8351798.7,2206508.811,539781,134809,974423394,68841197.39,367411,127014227.4,207813,1504648.3,288638,306312,59061.79
30.09.2015,50163,554807,1073234,8498535.5,2197491.625,584051,133678,975251140,71462052.14,390333,131033931.4,211741,1545278.5,295286,320837,61022.97
30.10.2015,49018,566280,1095610,8511962.9,2220151.649,591634,134545,973714266,79121655.91,362137,127422270.4,211710,1515519.8,299430,302654,59900.475
30.11.2015,48661,571389,1118917,8416418.7,2315449.541,589117,134549,975981319,77148954.43,364081,125515598.4,218409,1548137.8,302349,298418,60328.24
31.12.2015,48662,594427,1241685,9151628.2,2467059.181,569918,137325,1029905931,82521950.05,352507,131438804.4,223630,1651271.8,365158,300697,63216.578
29.01.2016,48246,582084,1203744,8896598.2,2366694.549,572552,144084,966423987,79688437.07,360030,129407884.4,212519,1590042,315897,293663,72526.51
29.02.2016,49357,593437,1190669,9116132.2,2323226.854,589482,133459,957818688,78595586.24,369005,133668728.4,214951,1572218.9,326190,296049,69421.495
31.03.2016,52549,578867,1216041,9428428.3,2361525.868,581878,129960,940790254,80114138.47,369552,135399755,217263,1667429.3,329565,298171,64651.21
29.04.2016,51585,576171,1200802,9428428.3,2450597.748,575839,133159,961110174,78075824.13,366893,132719743,218668,1603708.6,324446,298230,64403.17
31.05.2016,51226,583328,1223289,9451626.8,2431992.957,617304,131391,974440877,77908501.93,379579,135575703,223409,1585490.7,326368,302764,62780.714
30.06.2016,64463,583845,1237332,9096560.1,2327638.216,628067,136531,1063339711,76404777.06,392788,137961516,214435,1579033.2,328540,321518,62818.894
29.07.2016,60971,591341,1253084,9907739.6,2470708.372,645284,135190,1007822280,76685863.27,399670,133761817,221141,1549259,320807,306750,63276.009
31.08.2016,55406,595813,1245686,9034591.4,2399449.095,671251,134240,997786570,76546912.59,404789,136740787,218635,1523483.1,324233,305266,63454.699
30.09.2016,57016,613603,1252267,9423847.3,2504044.76,709170,136173,1008136845,77548588.37,403778,144308851,222126,1576450.8,325546,304401,65068.62
31.10.2016,52673,613572,1267239,9964880.7,2544303.399,731437,135190,1009074189,77877053.18,413224,138061350,224282,1573343,313679,298775,64214.933
